Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
07e6726e-7274-4d77-881e-a623d87e82c8,"Строительство новой двухтрансформаторной подстанции КТПМ-2х2500/6/0,4 кВ и кабельных линий КЛ 0,4 кВ от КТПМ до зарядных станций на территории троллейбусного депо №3 по адресу г.Нижний Новгород, проспект Ленина, д.87 Б (кадастровый номер ЗУ 52:18:0050301:27)",Инфраструктура наземного электротранспорта
08fe7d3a-536a-4830-9a80-47285a2c7875,"Капитальный ремонт контактной сети трамвая по объекту: Узел ""Чертаново - оборотная петля - улица Академика Янгеля"", включая кривую и переезд улицы Академика Янгеля с заменой опор, расположенного по адресу: район Чертаново Южное Южного административного округа города Москвы""",Инфраструктура наземного электротранспорта
0941cc21-e4cc-4bfa-936d-e31d39ada27a,"Капитальный ремонт трамвайных путей на объекте: ""Ул. Стромынка - Матросский мост, включая узлы ул. Стромынка - 2-й Полевой пер., ул. Стромынка - ул. Бабаевская, кривая на ул. Халтуринская"". Корректировка",Инфраструктура наземного электротранспорта
09fc5e6c-2d27-4c8a-97a8-d10aa4780f2a,Капитальный ремонт трамвайных путей по шоссе Металлургов от ул. Черкасской до ул. Жукова,Инфраструктура наземного электротранспорта
0b8eeb0e-ecd8-4ea0-88b1-a8751410081d,"Капитальный ремонт трамвайных путей на объекте: ""Медведково - оборотная петля, проезд Дежнёва (от д. 2 до пересечения с Чукотским проездом) ул. Менжинского - поворот на Енисейскую улицу пересечение Енисейская ул. - Новый Берингов пр-д, Енисейская ул. - Берингов пр-д, Енисейская ул. - ул. Уржумская"". Корректировка",Инфраструктура наземного электротранспорта
0bb5dc79-40af-4d6f-8d2e-3fe9849cb9df,"""Создание имущественного комплекса наземного электрического транспорта общего пользования в городе Нижнем Новгороде (Этап 1.2.1.1: Создание трамвайной линии на участке Сормовское кольцо от узла ""Варя"" до д. 164 ул. Коминтерна. Реконструкция тяговой подстанции №6 (г. Н. Новгород, ул. Полускатный переулок, д. 16А) и тяговой подстанции №21 (г. Н. Новгород, ул. Циолковского, д. 5А))""",Инфраструктура наземного электротранспорта
0cf28abb-de4b-40b5-b32f-6e7cc765854c,"""Создание троллейбусной инфраструктуры в г. Челябинске"" Этап 2.3 ""Модернизация контактной сети"".",Инфраструктура наземного электротранспорта
0e788d9c-09b0-484c-8e54-726b553d6b0a,"""Создание троллейбусной инфраструктуры в г. Челябинске"" Этап 2.2 ""Строительство новой контактной сети и 2 тяговых подстанций"".",Инфраструктура наземного электротранспорта
128ad43c-0e1e-4de9-9ea1-adc519901bd9,"""Муниципальное образование город Новотроицк. Капитальный ремонт верхнего строения трамвайного пути участка ""Остановка ФЛЦ - остановка КХП - ул. Восточная Поляна, 12Б"" на территории, расположенной по адресу: Оренбургская область, г. Новотроицк, от ул. Заводская,1, ул. Заводская,20А до ул. Восточная Поляна,12Б - 1 этап""",Инфраструктура наземного электротранспорта
13ee252f-56ad-448b-95f1-68cb5396d022,Капитальный ремонт трамвайных путей по ул. Российская от проспекта Победы до ЧГРЭС,Инфраструктура наземного электротранспорта
14389238-2a37-4b93-9cc8-8c474019029c,"Реконструкция эксплуатационной площадки филиала Трамвайное управление ГУП ""Мосгортранс"" по адресу: ул. Сельскохозяйственная, д. 9/2 (Трамвайное депо им. Н.Э. Баумана) для эксплуатации и обслуживания трёхсекционных низкопольных трамваев нового поколения",Инфраструктура наземного электротранспорта
143f1bdb-d2c3-4b1b-8532-bcc3fda0ba38,"""Реконструкция двухпутного трамвайного пути с перенаправлением движения в районе остановки ""Вагонное депо"" в городе Златоуст Челябинской области""",Инфраструктура наземного электротранспорта
14606374-b959-41d2-9480-e60c345b68f7,Капитальный ремонт трамвайных путей по ул. Новороссийская на участке от ул. Днепровской до ул. Дербентской,Инфраструктура наземного электротранспорта
161ea6fe-52e8-47ab-afe7-9b6cff51eea9,"«Строительство новой четырехтрансформаторной подстанции КТПМ-4х2500/10/0,4 кВ и кабельных линий КЛ 0,4 кВ от КТПМ до зарядных станций на территории троллейбусного депо №1 по адресу г. Нижний Новгород, ул. Генерала Ивлиева, д.1а (кадастровый номер ЗУ 52:18:0070251:205)»",Инфраструктура наземного электротранспорта
16d0951f-93cc-4088-b8b7-56b7bcfb9c07,Капитальный ремонт трамвайных путей по Свердловскому проспекту на участке от ул. Блюхера до ул. Труда,Инфраструктура наземного электротранспорта
1a350c94-3651-4685-b2b2-4d956a7a6533,Создание и эксплуатация объектов транспортной инфраструктуры наземного городского электрического транспорта общего пользования в муниципальном образовании город Краснодар Краснодарского края. Строительство трамвайной линии от ул. им Толбухина (Западное трамвайное депо) до ул. Московской. Этап 2.1 Строительство трамвайной линии от ул. им Толбухина (Западное трамвайное депо) до ул. Заполярной,Инфраструктура наземного электротранспорта
1bd316e7-48e9-4e84-bef9-a8a3f40319d5,"Строительство линии для продления троллейбусного маршрута №1 ""Депо-Дорожная больница"" до п. Каштак (пересечение ул. Просторная-Карповский тракт)",Инфраструктура наземного электротранспорта
1cd1dd3d-73d1-4683-a973-e0acf4bf7a6b,"Капитальный ремонт трамвайных путей: ""Переезды: ""Варшавское ш. д.3 поворот на Новоданиловскую набережную"", Варшавское ш. д. 13, Варшавское ш. д. 23, Варшавское ш. д. 25, Варшавское ш. д. 37, Варшавское ш. д. 39, Варшавское ш. д. 41, Варшавское ш. д. 45, Варшавское ш.-Хлебозаводский пр. включая Варшавское шоссе (оборотная петля ""Даниловская мануфактура"", узел (""Варшавское шоссе угол Нагатинской ул."")"". Корректировка",Инфраструктура наземного электротранспорта
1cfb9d95-24cd-47b7-844d-5f584d6b0957,Капитальный ремонт трамвайных путей по шоссе Металлургов от ул. Жукова до ул. Монтажников,Инфраструктура наземного электротранспорта
1eb7bcdd-9eef-4771-ada9-3718abd9393e,"Выполнение работ по аварийной замене силового кабеля от электротяговой подстанции №49 по адресу: г. Москва, ул. Яблочкова, д.1 до выхода на контактную сеть трамваев Тимирязевской линии от ул. Костякова до ТСХА КЛ №№4903, 4904, 4953, 4954",Инфраструктура наземного электротранспорта
1ec6e5ed-4686-44e6-913c-ff9126d08320,"""Капитальный ремонт контактной сети трамвая по объекту: Нововоротниковский переулок включая узел Селезневской и Краснопролетарской улицы с заменой опор""",Инфраструктура наземного электротранспорта
1ff9ddde-d824-48a3-bee2-e2ed621111d2,Капитальный ремонт подземных кабельных линий 600В по улицам: М. Горького и Бахметьевской от ТП №11 до ул. Чапаева в Октябрьском районе г. Саратова для восстановления электропитания троллейбусного маршрута №15,Инфраструктура наземного электротранспорта
20b15599-05dc-4185-bba4-fdd2286d8d84,"Капитальный ремонт трамвайных путей в г. Ачинск по улице Кравченко, от опоры контактной сети № 245 до опоры № 250 протяженностью 200 метров, в прямом и обратном направлении",Инфраструктура наземного электротранспорта
21b05a70-f6ea-4cc2-a2ba-59b2d192662f,"Объект культурного наследия ""Здание Электрической Санкт-Петербургской подстанции городского трамвая с примыкающим жилым домом"".",Инфраструктура наземного электротранспорта
25941fe6-679b-437a-b138-c3e1ecb08633,"""Создание троллейбусной инфраструктуры в г. Челябинске"". Этап 1.1.2. ""Модернизация существующих тяговых подстанций (к маршрутам № 12, № 19)""",Инфраструктура наземного электротранспорта
25e5652d-5959-4fd8-97dc-80318944e96c,"""Создание троллейбусной инфраструктуры в г. Челябинске"" Этап 1.2 ""Реконструкция Депо №1. Строительство нового участка контактной сети от пр. Ленина до Депо №1. Строительство новой тяговой подстанции"".",Инфраструктура наземного электротранспорта
2646f455-0d6f-4b0c-84bb-2d7a129ac59b,"Капитальный ремонт трамвайных путей на объекте: Б. Полуярославский пер. - Сыромятнический проезд, от д. 2/3 до д. 8 - набережная Академика Туполева (включая криволинейный участок поворот на Елизаветинский переулок)",Инфраструктура наземного электротранспорта
27f358ec-6c75-422c-ba7c-6579ee4706a9,"Капитальный ремонт верхнего строения трамвайного пути участка ""Остановка КХП - ул. Восточная Поляна, 14"" на территории, расположенной по адресу: Оренбургская область, г. Новотроицк, от ул. Заводская, 20А до ул. Восточная Поляна, 14",Инфраструктура наземного электротранспорта
2c8b9e92-29a3-492c-8988-ac285e77c2fe,"Капитальный ремонт трамвайных путей на объекте: ""Ул. Шаболовка, от ул. Лестева д. 2 до д. 56 с обособлением"". Корректировка",Инфраструктура наземного электротранспорта
2e1d2b0a-237e-4ec8-bfe5-b17a38636647,"""Капитальный ремонт трамвайных путей на объекте: ""Симферопольское оборотное кольцо"", Симферопольский бульвар от д.10, корп.1 до д.33, корп.1 (за исключением переезда Симферопольский б-р, д.20)""",Инфраструктура наземного электротранспорта
2fa976aa-f731-4427-8fc7-110a7c3fac1f,Капитальный ремонт трамвайных путей на пересечении ул. Машиностроителей и ул. Новороссийской,Инфраструктура наземного электротранспорта
317ba183-0a8d-422f-9449-aaf9818b6bd5,"Капитальный ремонт трамвайных путей на объекте: ""Симферопольское оборотное кольцо"", Симферопольский бульвар от д. 10, корп. 1 до д. 33, корп. 1 (за исключением переезда Симферопольский б-р, д. 20) (корректировка)",Инфраструктура наземного электротранспорта
33e3da27-db6a-4baa-bfc3-7eccb741035f,"""О создании, реконструкции и эксплуатации объектов транспортной инфраструктуры и технологически связанных  с ними транспортных средств, обеспечивающих деятельность, связанную с перевозками пассажиров транспортом общего пользования в муниципальном образовании городской округ город Липецк Липецкой области"" Этап 1.3.2 Реконструкция трамвайных путей, контактной сети, инженерных сетей и сооружений",Инфраструктура наземного электротранспорта
3484dc25-fb9c-457f-8836-1461f00aef12,"""Создание троллейбусной инфраструктуры в г. Челябинске"". Этап 1.1.2 Модернизация существующих тяговых подстанций (к маршрутам № 12, № 19).",Инфраструктура наземного электротранспорта
34c7209a-0838-4f32-9797-4a20d209acfd,Реконструкция троллейбусного депо по улице Ватутина,Инфраструктура наземного электротранспорта
34d64e02-d2cf-4695-9c81-27c8b64bb5ec,"""Создание троллейбусной инфраструктуры в г. Челябинске"" Этап 2.5 ""Реконструкция 3 существующих тяговых подстанций"".",Инфраструктура наземного электротранспорта
3566c6b4-50d9-4405-9aaf-1a74e1580dfe,Капитальный ремонт трамвайных путей по ул. Машиностроителей на участке от ул. Масленникова до ул. Новороссийской.,Инфраструктура наземного электротранспорта
35b826ad-57bf-4f54-8a08-a44444ff835d,"""Капитальный ремонт Кировского трамвайного депо по адресу: г. Саратов, ул. Ст.Разина, 77"" (2 этап)",Инфраструктура наземного электротранспорта
3621549c-78f5-46af-ae9c-f3a551fc1f13,"Капитальный ремонт трамвайных путей на объекте: ""От стрелочного перевода № 25с (узел: ""Варшавское шоссе - угол Нагатинской ул.) до открытой РШР путь в центр""",Инфраструктура наземного электротранспорта
36f7a584-6531-461b-a15d-85d95a95955b,Капитальный ремонт трамвайных путей по ул. Российской от ул. К. Маркса до ул. Труда,Инфраструктура наземного электротранспорта
3850e0ce-7151-4e1a-9825-22e82d29f3bc,"""Создание троллейбусной инфраструктуры в г. Челябинске"" Этап 1.2 ""Реконструкция Депо №1. Строительство нового участка контактной сети от пр. Ленина до Депо №1. Строительство новой тяговой подстанции"".",Инфраструктура наземного электротранспорта
385d29ac-b691-4c3c-83a2-957494c1356c,"""Создание имущественного комплекса наземного электрического транспорта общего пользования в городе Нижнем Новгороде"" Этап 2.1.2. ""Создание трамвайной линии на участке от ул. Терешковой до пл. Лядова""",Инфраструктура наземного электротранспорта
39afbd7f-5506-404b-82f6-3995b4d54198,"Капитальный ремонт трамвайных путей на объекте: ""Узел ""Дмитровский пр., владение 1 - оборотная петля"", Дмитровский пр. владение 1, ул. Костякова, ул. Дубки (от ул. Костякова до пересечения с Красностуденческим пр-дом)"" (корректировка)",Инфраструктура наземного электротранспорта
3a4e1e46-3bc4-440d-b75d-53f82e1954df,Создание и эксплуатация объектов транспортной инфраструктуры наземного городского электрического транспорта общего пользования в муниципальном образовании город Краснодар Краснодарского края. Строительство трамвайной линии от ул. им Толбухина (Западное трамвайное депо) до ул. Московской. Этап 2.1 Строительство трамвайной линии от ул. им Толбухина (Западное трамвайное депо) до ул. Заполярной,Инфраструктура наземного электротранспорта
3c397a38-b0d7-430f-af05-b9612ca26067,"Капитальный ремонт трамвайных путей на объекте: ""Волоколамкое ш. (от д. 15 до. 77 по Ленинградскому ш., ул. Алабяна - оборотная петля, переезд ул. К. Царева - Светлый проезд)"". Корректировка",Инфраструктура наземного электротранспорта
3c3b54ed-0c26-4023-8df5-e2981d9d219a,"""Создание троллейбусной инфраструктуры в г. Челябинске"". Этап 2.4. ""Модернизация существующих тяговых подстанций""",Инфраструктура наземного электротранспорта
402bd894-2014-4905-8252-1249f38f5d95,"""Капитальный ремонт трамвайных путей по ул. Черкасская от ул. Аральская до шоссе Металлургов""",Инфраструктура наземного электротранспорта
405446f5-6eff-44e1-9b61-b72b45fe29ea,"Капитальный ремонт трамвайных путей на объекте: ""Оборотная петля у ст. метро Войковская до узла ""ул. З. и А. Космодемьянских угол 1-го Новоподмосковного пер."", улица Зои и Александра Космодемьянских (от д. 4 до д. 26/21)"" (корректировка)",Инфраструктура наземного электротранспорта
40cc7f47-08bc-4861-963d-c88e35ac4d59,"Капитальный ремонт трамвайных путей на объекте: ""ул. Кулакова (от узла ""Строгино - оборотное кольцо"") - ул. Маршала Катукова (до узла ""Таллинская ул. угол ул. Катукова"")",Инфраструктура наземного электротранспорта
417c998f-a95f-489c-b63f-cdc8653224a3,Капитальный ремонт трамвайного пути на автомобильном переезде на пересечении улицы Попова и ул. Балтийской,Инфраструктура наземного электротранспорта
41c5af18-48b8-428e-b36f-fa4b90af04bf,"""Создание и эксплуатация объектов транспортной инфраструктуры наземного городского электрического транспорта общего пользования в муниципальном образовании город Краснодар Краснодарского края. Строительство трамвайной линии от ул. им. Толбухина (Западное трамвайное депо) до ул. Московской"". Этап 2.2 ""Строительство трамвайной линии от ул. Заполярной вдоль ул. Красных Партизан""",Инфраструктура наземного электротранспорта
42374a69-5f0f-4cd1-869c-8a66dcb57252,"Капитальный ремонт трамвайных путей на объекте: Пр. Мира (от узла пр. Мира - ул. Б. Галушкина до узла пр. Мира - ул. Эйзенштейна, от узла ул. С. Эйзенштейна до кривой на пересечении с Сельскохозяйственной ул.) - ул. Б. Галушкина (пересечение с Ярославской ул.) - улица Енисейская от д. 1, стр. 30 до Уржумского оборотного кольца",Инфраструктура наземного электротранспорта
437f8d47-eb16-40aa-a97f-f798d3acad76,"Реконструкция системы энергоснабжения (в составе ТП-11, ТП-20, кабельных и воздушных линий не менее 14,68 км.) линии трамвая г. Волгограда в границах улица Римского-Корсакова - 10-й Дивизии НКВД (маршрут №2)",Инфраструктура наземного электротранспорта
4485f3ed-dc3e-4caf-a2da-9338d12bfad9,"Капитальный ремонт трамвайных путей на объекте: Переезды: Варшавское ш. д.3 поворот на Новоданиловскую набережную, Варшавское ш. д. 13, Варшавское ш. д. 23, Варшавское ш. д. 25, Варшавское ш. д. 37, Варшавское ш. д. 39, Варшавское ш. д. 41, Варшавское ш. д. 45, Варшавское ш.-Хлебозаводский пр. включая Варшавское шоссе (оборотная петля ""Даниловская мануфактура"", узел ""Варшавское шоссе угол Нагатинской ул.)"" (корректировка)",Инфраструктура наземного электротранспорта
462546dc-7a90-4f90-95e2-c0b5db5b370e,"Капитальный ремонт трамвайных путей на объекте: ""Медведково - оборотная петля, проезд Дежнёва (от д. 2 до пересечения с Чукотским проездом) ул. Менжинского - поворот на Енисейскую улицу пересечение Енисейская ул. - Новый Берингов пр-д, Енисейская ул. - Берингов пр-д, Енисейская ул. - ул. Уржумская"" (корректировка)",Инфраструктура наземного электротранспорта
47d767fa-af67-448d-b857-95feb7c1e317,Трамвайная и троллейбусная линии.,Инфраструктура наземного электротранспорта
4c942e56-2d94-4e39-b334-6d8c88cbc46a,"""Создание имущественного комплекса наземного электрического транспорта общего пользования в городе Нижнем Новгороде (Этап 1: Создание трамвайной линии на участке от д. 164 ул. Коминтерна до д. 21 Сормовское ш. в г. Нижний Новгород, включая узел станции ""Варя"")""",Инфраструктура наземного электротранспорта
4ce1ce20-1a56-4b9b-a7d0-07f64f9da828,"Капитальный ремонт трамвайных путей на объекте: ""Узел ""Краснопрудная улица - Нижняя Красносельская улица"". (корректировка)",Инфраструктура наземного электротранспорта
4f3ca21d-2775-44aa-baf4-ff6b951e662b,"""О создании и использовании (эксплуатации) трамвайной сети в г. Таганроге"". Этап 2/1. Строительство трамвайных путей, находящихся в г. Таганрог.",Инфраструктура наземного электротранспорта
4fac80a2-939b-4d97-999f-850a180792f1,"Капитальный ремонт трамвайных путей на объекте: ""ул. Кулакова (от узла ""Строгино - оборотное кольцо"") - ул. Маршала Катукова (до узла ""Таллинская ул. угол ул. Катукова"") (корректировка)",Инфраструктура наземного электротранспорта
50450727-f431-4b88-8d3d-8ee7f5e80ce3,"""Трамвайная сеть от остановки 6-я Дачная до остановки Школа № 52 (трамвайный маршрут № 6)"" в г. Саратов",Инфраструктура наземного электротранспорта
516b8b4c-7888-4209-9954-97228c26cbcc,"Капитальный ремонт трамвайных путей на объекте: ""Узел ""Проспект Мира угол ул. С. Эйзенштейна"" Проспект мира от д. 131 до д. 135, включая узел ""Проспект Мира угол Сельскохозяйственной ул."" Проспект Мира от д. 167 до д. 211 к. 1 Проспект Мира от д. 211 к. 2 до ул. Енисейская д. 1, с. 30"" (корректировка)",Инфраструктура наземного электротранспорта
518dc5b8-1c01-4bd1-91b9-197d1539fa02,Трамвайная и троллейбусная линии.,Инфраструктура наземного электротранспорта
546021b5-f15b-4c49-822c-83c0e6d1d85d,"""Капитальный ремонт трамвайных путей по ул. Горького от ул. П. Пятилетки до пр. Ленина""",Инфраструктура наземного электротранспорта
559d06a2-74d7-47ba-afe4-404cb8a97758,"Реконструкция эксплуатационной площадки филиала Трамвайное управление ГУП ""Мосгортранс"" по адресу: ул. Сельскохозяйственная, д. 9/2 (Трамвайное депо им. Н.Э. Баумана) для эксплуатации и обслуживания трёхсекционных низкопольных трамваев нового поколения",Инфраструктура наземного электротранспорта
56b2b5d0-4c55-4c50-a181-155af8f9c82a,"""Создание имущественного комплекса наземного электрического транспорта общего пользования в городе Нижнем Новгороде (Этап 1.2.1.2: Создание трамвайной линии на участке от ст. м. Буревестник до ст. ""Московский вокзал"". Реконструкция тяговой подстанции №4 (г. Н. Новгород, ул. Мурашкинская, д. 13))""",Инфраструктура наземного электротранспорта
5c011418-7b2f-4943-8086-b930c7ebec35,"Капитальный ремонт трамвайных путей на объекте: ""Ул. Рогожский Вал, от д. 1 до д. 17 (включая переезд с ул. Сергия Радонежского и криволинейные участки поворот на бульвар Энтузиастов)""",Инфраструктура наземного электротранспорта
5c81915b-f80b-48e8-ae56-ec0f2f8f96a6,"Капитальный ремонт трамвайных путей на объекте: ""Узел ""Ул. Палиха - Сущёвская ул."", ул. Палиха, включая переезд Лесная ул. - Новослободская ул.""",Инфраструктура наземного электротранспорта
5ca0da44-4235-4de9-87a3-ab488a65ebbe,"Капитальный ремонт трамвайных путей на объекте: Делегатская ул., пересечение с ул. Дурова, ул. Дурова д. 49 - ул. Гиляровского - проспект Мира д. 33, к. 1 -Протопоповский пер., д. 40 (включая криволинейные участки поворот на Каланчёвскую ул.). Корректировка",Инфраструктура наземного электротранспорта
60d1ba97-a917-43d8-8a74-e38e3a06073e,"""Трамвайная сеть от остановки 6-я Дачная до остановки Школа № 52 (трамвайный маршрут № 6)"" в г. Саратов",Инфраструктура наземного электротранспорта
61a61ac1-b478-4d6f-a23a-1779f4db6c43,"Электроснабжение трамвайной контактной сети от тяговой подстанции №4, расположенной по адресу Ардонская, 44 до секциона 1 и 2, расположенные по адресам угол пр Коста ул./С.Мамсурова и пр. Коста/остановка ""Арктика"" г. Владикавказ",Инфраструктура наземного электротранспорта
62583d28-d1d1-4dde-be42-20e6ed3d4373,"""О создании, реконструкции и эксплуатации объектов транспортной инфраструктуры и технологически связанных  с ними транспортных средств, обеспечивающих деятельность, связанную с перевозками пассажиров транспортом общего пользования в муниципальном образовании городской округ город Липецк Липецкой области"" Этап 1.1.3 Реконструкция трамвайных путей, контактной сети, инженерных сетей и сооружений",Инфраструктура наземного электротранспорта
6364ec28-38f2-43bb-8a12-f354fa1dc46c,"Капитальный ремонт трамвайных путей на объекте: Ул. Кржижановского (от узла ""ул. Вавилова угол ул. Кржижановского"", ул. Б. Черёмушкинская, включая узлы ""Ул. Кржижановского - оборотная петля"" и оборотная петля ""Черёмушки"". Переезды: Б. Черёмушкинская - ул. Дмитрия Ульянова Б. Черёмушкинская - ул. Винокурова Б. Черёмушкинская - ул. Шверника. Корректировка",Инфраструктура наземного электротранспорта
64419cb4-fda1-446a-ac3d-2a9a277a9349,Перепрофилирование троллейбусного парка в трамвайное депо,Инфраструктура наземного электротранспорта
651beb94-c042-4550-a539-7f0bf1bb4b9e,"""Капитальный ремонт Кировского трамвайного депо по адресу: г. Саратов, ул. Ст. Разина, 77"" (1 этап)",Инфраструктура наземного электротранспорта
658c1714-3959-4c23-a50a-9144b9e5d5d7,"""О создании, реконструкции и эксплуатации имущественного комплекса наземного электрического транспорта общего пользования в муниципальном образовании городской округ город Пермь в Пермском крае"" ""Этап 1.1.2 Реконструкция трамвайных путей""",Инфраструктура наземного электротранспорта
65b9e817-418d-4eab-b98e-ee2b036cb759,"""Создание имущественного комплекса наземного электрического транспорта общего пользования в городе Нижнем Новгороде (Этап 1.2.3. Реконструкция трамвайного депо № 2)""",Инфраструктура наземного электротранспорта
683faf4e-fb53-42e2-9d96-3100c7f39bdd,Строительство контактной сети (троллейбусной линии) по проспект И.Зарипова-ул.Бигаш в городе Альметьевск,Инфраструктура наземного электротранспорта
6a211c44-f092-4774-a7ea-30cf01ef2c8b,"""Создание и эксплуатация объектов транспортной инфраструктуры наземного городского электрического транспорта общего пользования в муниципальном образовании город Краснодар Краснодарского края"" Этап № 1 ""Строительство дополнительного трамвайного пути на пересечении ул. Московской и ул. Красных Зорь""",Инфраструктура наземного электротранспорта
6da9a89e-c484-4c42-b73f-53451288190b,Реконструкция трамвайного депо имени Апакова (корректировка),Инфраструктура наземного электротранспорта
6efff353-6dce-4574-abad-c09e70004927,"""Создание имущественного комплекса наземного электрического транспорта общего пользования в городе Нижнем Новгороде (Этап 1.2.1.1: Создание трамвайной линии на участке Сормовское кольцо от узла ""Варя"" до д. 164 ул. Коминтерна. Реконструкция тяговой подстанции №6 (г. Н. Новгород, ул. Полускатный переулок, д. 16А) и тяговой подстанции №21 (г. Н. Новгород, ул. Циолковского, д. 5А))""",Инфраструктура наземного электротранспорта
6f6dd645-fd84-425a-a5b0-f7dac4b3f6c9,Капитальный ремонт трамвайных путей по проспекту Победы на участке от ул. Каслинской до ул. Кирова,Инфраструктура наземного электротранспорта
6feb9860-0e08-487d-a77f-52a31f04fab5,"""Муниципальное образование город Новотроицк. Капитальный ремонт верхнего строения трамвайного пути участка ""Остановка Трамвайное управление - остановка Винокурова"" на территории, расположенной по адресу: Оренбургская область, г. Новотроицк, от ул. Винокурова, 3 до ул. Советская, 160 - 3 этап""",Инфраструктура наземного электротранспорта
6ffc4841-be1c-4781-b678-f4d181075933,Капитальный ремонт трамвайных путей по ул. Дзержинского на участке от ул. Гагарина до ул. Многостаночников,Инфраструктура наземного электротранспорта
7197df31-cd00-4996-9ebf-6ffc4f76e7cc,"Капитальный ремонт трамвайных путей на объекте: Делегатская ул., пересечение с ул. Дурова, ул. Дурова д.49 - ул. Гиляровского - проспект Мира д.33, к.1 - Протопоповский пер., д.40 (включая криволинейные участки поворот на Каланчевскую ул.)",Инфраструктура наземного электротранспорта
7288ac92-c0d6-4717-bf08-4c62ecb5631a,"""Создание имущественного комплекса наземного электрического транспорта общего пользования в городе Нижнем Новгороде"" Этап 2.1.2. ""Создание трамвайной линии на участке от ул. Терешковой до пл. Лядова""",Инфраструктура наземного электротранспорта
72ef6963-0018-4c17-8164-f317e875e7e0,"Капитальный ремонт трамвайного пути. Участок № 1 по ул. Краснознаменная (в районе ост. ""3-я садовая""), 278 метров. г. Орск, Оренбургская область",Инфраструктура наземного электротранспорта
737abccd-a1cb-40ad-901e-ca02a126585e,"Капитальный ремонт трамвайных путей на объекте: ""Халтуринская ул., от д. 2 до д. 14, к. 1 (кривой участок) и д. 14, стр. 6 (кривой участок), пересечение с Открытым шоссе - оборотное кольцо ""Открытое шоссе"", Открытое шоссе (подходы к оборотному кольцу ""Открытое шоссе"")""",Инфраструктура наземного электротранспорта
74e430d3-2f4a-4478-a119-a741ff424d5c,"Капитальный ремонт трамвайных путей на объекте: ""Переезды: Нагатинская ул. - 1-й Нагатинский пр-д Нагатинская ул., д. 10 (въезд в 7-й троллейбусный парк) Нагатинская ул., д. 12 (выезд из 7-й троллейбусного парка) Нагатинская ул. - 2-й Нагатинский пр-д, пересечение с ул. Садовники, Нагатинская ул., д. 35, пересечение с пр-том Андропова (включая кривую) - Судостроительная ул., д. 4, Судостроительная ул., от д. 6 - до д. 14. Оборотная петля Нагатино""",Инфраструктура наземного электротранспорта
762c48a5-adbb-4284-a889-d4702fa099a1,"""Создание троллейбусной инфраструктуры в г. Челябинске"" Этап 1.2 ""Реконструкция Депо №1. Строительство нового участка контактной сети от пр. Ленина до Депо №1. Строительство новой тяговой подстанции"".",Инфраструктура наземного электротранспорта
