Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
015c9be4-c6fa-4982-9b86-b4589e78407c,"Капитальный ремонт (восстановление) канализационной сети по адресу: Пыжевский пер. д.7с2, д.7с1 К2016419-К22023353, К2016417-К2020175, д.3с1, К2016430-К22023336, д.3с1, д.6,д.7с1",Водоотведение
01a8d934-2f5d-4b18-b9f3-2c0f8d657c0c,"Вынос сетей канализации из пятна застройки для объекта: ""Физкультурно-оздоровительный комплекс"" по адресу: г. Москва, ул .Раменки, д. 19 (на месте сноса существующего здания)",Водоотведение
01b6b566-b542-49ab-bb64-9d1bc494a768,Строительство системы водоотведения в с.Высокая Гора Высокогорского муниципального района Республики Татарстан,Водоотведение
01bb63f4-44e0-457c-b23b-3b8de0cfb4d4,"Подключение к централизованной системе водоотведения объекта: Жилой дом с приспособлением подземной автостоянки на 800 мест под защитное сооружение гражданской обороны ""укрытие"" (ЗСГО), с инженерными сетями и благоустройством территории (со сносом зданий по адресам: г. Москва, район Красносельский, ул. Леснорядская, д. 7, ул. 2-я Леснорядская, д. 10-12, строен.1) по адресу: г. Москва, район Красносельский, ул. Леснорядская, земельный участок 7 (ЦАО)",Водоотведение
01f8d106-040b-4c3e-85d0-e32347869dfd,"""Капитальный ремонт ливневой канализации по ул.Краснококшайская""",Водоотведение
01fe8903-3663-44b0-9291-a7559a1a10d9,"""Выполнение работ на реализацию мероприятий по капитальному ремонту сетей водоснабжения и водоотведения, включая подготовку проектной документации"". ""Сеть самотечной канализации по ул. Ногина, ул. Наташи Качуевской"".",Водоотведение
024a5545-cc20-491e-b98d-72a7244da5c1,"""Строительство сетей канализации и комплекса КНС №4 для присоединения поселковых сетей канализации с. Паратунка к очистным сооружениям""",Водоотведение
02581883-4a50-4a37-98cc-a19c5899cca6,"Внутриплощадочные сети водоотведения (с КНС) промышленного парка Губкин, расположенного по адресу: Белгородская область, г. Губкин",Водоотведение
025e4860-d8f4-4d9a-a881-758b9e0d3074,"Подключение к централизованной системе водоотведения объекта: Жилой дом с инженерными сетями и благоустройством территории по адресу: г. Москва, район Фили-Давыдково, ул. Олеко Дундича, вл. 31-35 (Западный административный округ)",Водоотведение
025ea797-83bc-4b4b-911f-fc674a010957,"Сети водоотведения от пос. Заря (район ул. Молодёжная) до КНС1, расположенной в районе малоэтажной застройки (ул. Барышникова), г. Пенза",Водоотведение
02622250-4a2d-4ab8-9baf-51eacc8289ab,Строительство системы водоотведения в с. Высокая Гора Высокогорского муниципального района Республики Татарстан,Водоотведение
026c8628-c248-40bf-8c46-0a5e912d94ca,Канализационная сеть.,Водоотведение
02c7c16e-d4ae-4707-a788-920c5a6a9466,"""Капитальный ремонт сетей водоотведения по Пермякова ул. д.20, д.22, Текстильная ул. д.17, д.13, Рижская ул. д.73""",Водоотведение
02c96e31-7b03-4165-b3ec-8518d1096b87,"Подключение к централизованной системе водоотведения объекта: Жилой дом с инженерными сетями и благоустройством территории по адресу: г. Москва, район Северное Измайлово, ул. Константина Федина, влд. 5 (Восточный административный округ)",Водоотведение
02e49117-f117-4ade-90d4-f12b2d1c07a5,Строительство сетей водоотведения по ул. Крестьянская г. Любима Ярославской области.,Водоотведение
030b1b9b-fc2e-464f-89ce-06648c17d4bc,"Капитальный ремонт коллектора хозяйственно-бытовой канализации от ул. Мира, д. 13 до пересечения ул. Декабристов и ул. Новая",Водоотведение
03153910-554c-49fb-8fa7-2a6e3dc94675,"Вынос сетей канализации по объекту: ""Жилой комплекс, расположенный по адресу: г.Москва, ул.Мосфильмовская, д.31А, размещаемый на земельном участке, КН 77:07:0010004:24. Идентификатор: 90-128/КЛ-23",Водоотведение
031c46de-2084-4c49-a7ae-1916f895220e,"Модернизация коммунальной инфраструктуры г.Переславля-Залесского Ярославской области 2020-2022гг. 2 этап. Модернизация (капитальный ремонт) наружных сетей водоотведения, объектов водозабора и насосных станций, объектов очистных сооружений канализации, сетей водоснабжения",Водоотведение
0357d6fa-bf50-4cca-9f74-75436a87bd79,"""Вынос сетей канализации по объекту: ""Жилой дом с приспособлением подземной автостоянки под защитное сооружение гражданской обороны - ""укрытие"" (ЗСГО), с инженерными сетями и благоустройством территории (со сносом жилых зданий по адресам: Перекопская улица, дом 29 Перекопская улица, дом 27, корпус 1 Перекопская улица, дом 27, корпус 2) по адресу: г. Москва, внутригородское муниципальное образование Черемушки, улица Перекопская, земельный участок 27 (зона 3.1) (Юго-Западный административный округ)"" (ППТ кварталов 32, 33-34, района Черемушки города Москвы (ЮЗАО))""",Водоотведение
035905d5-7b92-4730-8eb9-80c16c57086a,Строительство сетей канализации в с. Широкое и канализационной сети от с. Широкое до КОС 5 с. Озерное,Водоотведение
035ad4a8-3282-4bb2-ba48-f691b5812a76,"""Подключение к централизованной системе водоотведения объекта: Жилые дома, район Косино-Ухтомский, ул. Салтыковская"" 2 этап - корпуса №8 и 9",Водоотведение
035c8096-ffbf-4ccd-859b-f8f5bc82fdbd,"""Строительство наружных сетей хозяйственно-бытовой напорной канализации для подключения экопромышленного парка для обращения со вторичными ресурсами и вторичным сырьем на территории г. Невинномысска к сетям ГУП СК ""Корпорация развития Ставропольского края"" адрес объекта: Ставропольский край, город Невинномысск""",Водоотведение
039d5af0-01da-48c1-9328-b0132ef10801,"""Инженерные сети для индивидуальных жилых домов в р.п. Николаевка г.о. Саранск (2 этап строительства). Сети водоотведения"" (корректировка проекта)",Водоотведение
03aab333-696a-41f6-8c68-93bf7856ceec,Капитальный ремонт канализационной сети в п.Семиозерье Полянского СП Выборгского района Ленинградской области с установкой модульной станции очистки сточных вод (500м3/сут),Водоотведение
03c67191-ac03-4074-aecb-0133aa21ea56,"Капитальный ремонт системы ливневой канализации по ул. Лейтенанта Шмидта, проходящей под автомобильной дорогой, в районе объекта капитального строительства ""Многофункциональный гостиничный комплекс курортного типа (5 звезд) в районе м. Бурный г. Владивосток"", расположенный по адресу: г. Владивосток, ул. Набережная, д. 13.",Водоотведение
03d5b097-229e-4743-9f1d-5b6d93214fbb,"Строительство сетей канализации в с. Подгорное, КНС и 2-х НК до КНС в с. Родниковое",Водоотведение
03f43b1c-683f-45fd-bd92-6384022e79a8,Строительство ливневой канализации по пр. 1-й им. Айвазовского от дома № 27 по пр. 1-й им. Айвазовского до ул. Свободная в г. Краснодаре,Водоотведение
041bd32c-d567-4332-b294-5d1f385987c5,"""Реконструкция Свиноводческого комплекса ""Меловатский"". Внешние сети водоотведения""",Водоотведение
042c76fe-6328-4794-832e-9142b7fe4bf1,Канализационная сеть.,Водоотведение
045ea704-11ae-40d1-abde-ddfdf64ebe13,"Подключение к централизованной системе водоотведения объекта: Многофункциональное здание с апартаментами по адресу: г. Москва, ул. Корнейчука, вл. 27, вл. 27, стр. 5,6,7",Водоотведение
049c4cc4-4f5f-42e2-9b38-a10c0f904990,Канализационная сеть.,Водоотведение
04aaf522-1cb4-4e2f-9f8e-990a94b63438,"Строительство магистрального коллектора ливневой канализации, магистрального коллектора дренажной канализации и локальных очистных сооружений для обслуживания перспективной застройки в Канавинском районе города Нижнего Новгорода",Водоотведение
04ac1b3e-54fa-4480-b5d5-1fec1c5a2592,Капитальный ремонт напорной канализации по ул. Чапаева г. Петровска Саратовской области,Водоотведение
04b88a3e-c4a8-4be6-b10e-b05f5d402510,"Подключение к централизованной системе водоотведения объекта: Многофункциональный жилой комплекс по адресу: г. Москва, Дмитровское ш., владение 71, корп. 5",Водоотведение
04ba93c4-4faf-4665-8dff-c46083817ed8,"Реконструкция участка улицы Рудницкого в микрорайоне ""Южный-3"" в г.Кирове с устройством ливневой и хоз.-бытовой канализации в границах и за границами реконструируемого участка",Водоотведение
04f0fd25-4241-4b5e-b71f-b899520d675b,"""Модернизация сетей водоотведения и сооружений на них. Реконструкция канализационных насосных станций №19"". Самарская область, г. Самара, Красноглинский р-н, Волжское шоссе, 9""",Водоотведение
05239e7f-10b6-43bb-b629-f022f11cc6bc,"Подключение к централизованной системе водоотведения объекта: Многофункциональная застройка по адресу: г. Москва, Рязанский проспект, земельный участок с кадастровым номером 77:04:0002003:7927 по адресу: г. Москва, Рязанский просп., уч. 2/25",Водоотведение
05496920-c27c-48c5-b7df-7652707ed6db,"Подключение к централизованной системе водоотведения объекта: ""Жилая застройка с объектами социальной инфраструктуры, 2 этап строительства по адресу: г. Москва, Амурская ул.",Водоотведение
057f4d3a-bb68-443b-b136-8a946833eb28,"Вынос сетей канализации по объекту: ""Жилой дом с инженерными сетями и благоустройством территории (со сносом жилых домов по адресам: Волгоградский пр-т, д. 107, к. 3 и Волгоградский пр-т, д. 107, к.4) по адресу: г. Москва, район Кузьминки, Волгоградский проспект, земельный участок 107/4 (Волгоградский пр-т, вл. 107, к. 4) (Юго-Восточный административный округ)""",Водоотведение
0580cd26-8740-497f-b49f-dd0956d9f5d0,"Строительство сетей ливневой канализации к жилой застройке, Омская область, Омский район, с. Пушкино",Водоотведение
05843532-7e26-46f7-be71-8a53e83ada22,"""Жилая застройка на земельных участках, расположенных по адресам: Воронежская область, г. Воронеж, ул. Загоровского, ул. Шишкова, 140б, уч.3. Сети хоз.бытовой канализации I-го этапа освоения территории и сооружения на них""",Водоотведение
058b14a2-1de8-4a35-a851-96a5e4f3213e,Участок сетей ливневой канализации от ул. К. Маркса на запад по ул. Кирова в Октябрьском районе города Ижевска,Водоотведение
05944627-d333-48f9-8236-5581a2bf00a1,"Строительство сетей канализации от домов по ул.Гвоздильной, ул. Волочильной с ликвидацией открытых выпусков в р. Ржавку в Ленинском р-не г. Н. Новгорода",Водоотведение
05b2e9de-26bb-4b43-8427-207c515c9529,"Капитальный ремонт сетей водоотведения МО ""Город Киров""",Водоотведение
05cb2584-5754-48b0-82d5-70d865513289,"Капитальный ремонт сетей канализации, расположенных по ул.Зеленая от КНС №3 (Сорочинск, ул.Котовского, 54 А) до колодца-гасителя на пересечении улиц Зеленая и Староэлеваторская в г. Сорочинске Оренбургской области .Корректировка",Водоотведение
05d3411e-7984-4567-b64a-2c2949758d86,Реконструкция сетей водоотведения от жилого дома по ул. Проспект Строителей №32 г.Зеленодольск Зеленодольского муниципального района Республики Татарстан,Водоотведение
063e62b8-6212-457f-92d1-23f4e0455a95,"Вынос сетей канализации по объекту: ""Жилой комплекс с подземной автостоянкой корпус 1, корпус 2"" по адресу: Москва, ул. Петра Алексеева, вл. 12, корп. 1-2",Водоотведение
064dcc4e-ee91-4e8d-89c2-efc536dd282e,Система водоотведения г. Задонска со строительством очистных сооружений производительностью 1500м3/сут,Водоотведение
0660d39d-f4b6-4a05-91f6-d979f9e00f7c,"Реконструкция сооружения - сетей ливневой канализации Базы отдыха филиала ""Новокузнецкий ВГСО"" ФГУП ""ВГСЧ"", расположенное по адресу: Алтайский край, Алтайский район, Алтайское лесничество Айского участкового лесничества, квартал № 8, выдел 6 Кадастровый номер: 22:02:060005:5110",Водоотведение
06beed1c-b7be-40fe-bedc-d235ea6ceff7,Канализация по ул. Нифантовская в д. Нифантово Шекснинского района Вологодской области,Водоотведение
07374908-7498-45ad-a0bc-434b43edecd8,"Внеплощадочные межзаводские сооружения ливневой канализации, расположенные по адресу: Свердловская область, г. Екатеринбург, ул. Учителей, д. 33, на участках с кадастровыми номерами 66:41:0110016:1003, 66:41:0110016:1004",Водоотведение
07e5ec66-46c2-4eb2-b42a-be9f4916fe9f,Капитальный ремонт сетей водоотведения в городе Новый Уренгой,Водоотведение
080b36aa-5f58-4a15-b160-d7cf6039e3b2,"Капитальный ремонт самотечной канализационной сети: Коллектор канализационный ID200 - ID300 от т.А (перекресток ул. Центральная - ул. Школьная, дом №27 по ул. Школьная) до т.Б (перекресток ул. Школьная - ул. Рабочая, дом №10 по ул. Школьная)",Водоотведение
081a282f-f40c-44d3-8b50-b2f8cc72d7a7,Строительство коллектора хозяйственно-бытовой канализации от улицы Татищева до улицы Начдива Онуфриева в городе Екатеринбурге. 1 этап строительства,Водоотведение
08289ab6-c7eb-48b6-83e2-7f24a0b3cd8c,"Подключение к централизованной системе водоотведения объекта: Жилой дом с подземной автостоянкой с инженерными сетями и благоустройством территории по адресу: г.Москва, район Метрогородок, Открытое шоссе, земельный участок 26/3, номер зоны - 4.5 (ЖУ-5) (Восточный административный округ) (ППТ Метрогородок, мкр. 1, 2, 2а)",Водоотведение
08384bec-0917-4914-85c2-0f06f8c45a89,"Подключение (технологическое присоединение) к централизованной системе водоотведения поверхностных сточных вод (дождевая канализация) для объекта капитального строительства: Жилой дом со встроенно-пристроенными нежилыми помещениями по адресу: Самарская область, г.Самара, Кировский район, улица Советская/улица Черемшанская. Идентификатор Объекта р-6761",Водоотведение
084ced8c-520a-4f69-8f3b-ddb553220c92,"Сети дождевой канализации с обустройством контрольного колодца, выпуска в водный объект очищенных стоков, ливневые очистные сооружения (ЛОС) комплексной многоэтажной жилой застройки, расположенной по адресу: Московская область г.о. Домодедово, мкр. Авиационный",Водоотведение
0869afb1-a43c-4af0-b92e-1cdab1ab4de0,"""Реконструкция системы водоотведения в г. Корсаков (в т.ч. разработка проектной документации)""",Водоотведение
087b5ae6-07de-42e4-805a-ab71459bcee2,Магистральные сети водоотведения в Есаульском сельском поселении Челябинской области,Водоотведение
089067ae-b536-41c6-8c9d-2050b88bda34,"""Строительство комплекса наружных сетей водоотведения от КНС-1 (проектируемая) до очистных сооружений № 1 г. Тайшет с подключением детского сада, расположенному по адресу: Иркутская область, г. Тайшет, ул. Горького 60А и микрорайона ""Центральный"" г. Тайшет""",Водоотведение
08a80c43-1f32-406a-a307-f6b573dee67b,"""Коллектор хозбытовой канализации"". Инв. №30236. Участок от КК-сущ. до КК-13*, L-811 (м) d-800 и участок от КК-19 до КК-20, L-87,3 (м) d-500, расположенные по ул. Островского.",Водоотведение
092136cb-f305-4dc5-b8ea-51ea79807dea,"Вынос сетей водоотведения по объекту: ""Жилой дом с подземной автостоянкой, с инженерными сетями и благоустройством территории (со сносом жилых зданий по адресу: ул. Большая Очаковская, д. 45, к. 1, ул. Проектируемый проезд № 1980, д. 3) по адресу: г. Москва, внутригородское муниципальное образование Очаково-Матвеевское, ул. Большая Очаковская, земельный участок 45А (Большая Очаковская ул., вл. 45А) (Западный административный округ)""",Водоотведение
09360f38-9fe7-4718-8e71-8327f6ffe67d,"Подключение (технологическое присоединение) к централизованной системе водоотведения поверхностных сточных вод (дождевая канализация) для объекта капитального строительства: ""Проектирование и реконструкция здания Самарского театра юного зрителя ""СамАрт"" расположенного по адресу: г. Самара, улица Льва Толстого, д. 109, III пусковой комплекс""",Водоотведение
093f9515-1316-48b6-a028-c0851c700988,"Технологическое присоединение к централизованной системе водоотведения поверхностных сточных вод ГУП ""Мосводосток"" объекта: ""Учебный корпус на 400 мест на месте сноса существующего здания, 2-я Пугачевская ул., д. 12А"" по адресу: г. Москва, 2-я Пугачевская улица, вл. 12А",Водоотведение
097ebee3-936c-4691-9bd6-e554975375b0,"""Выполнение работ на реализацию мероприятий по капитальному ремонту сетей водоснабжения и водоотведения, включая подготовку проектной документации"". ""Самотечная канализация по пл.Шаумяна, 1 до ул.Шаумяна, 3"".",Водоотведение
09a30c30-4577-4f4e-bdad-a1ad7cf32cb9,"Технологическое присоединение к централизованной системе водоотведения поверхностных сточных вод ГУП ""Мосводосток"" объекта: ""Жилой дом с инженерными сетями и благоустройством территории"" по адресу: г. Москва, район Можайский, ул. Толбухина, влд. 2/4 (Западный административный округ)"".",Водоотведение
09b05048-c3f3-4fc2-b369-53b2e72557e9,"""Внеплощадочные сети ливневой канализации по ул. Попова в г. Белгороде""",Водоотведение
09b8fba6-e620-4b10-86d3-34c446ad0e60,"Подключение к централизованной системе водоотведения объекта: Пожарное депо на 4 машиноместа, пос. Воскресенское по адресу: г. Москва, поселение Воскресенское, п. Воскресенское, владение 67А",Водоотведение
09eb4d08-1064-46f7-a226-4aa0bcb5829f,"Подключение к централизованной системе водоотведения объекта: ""Жилой дом с приспособлением подземной автостоянки под защитное сооружение гражданской обороны ""укрытие"" (ЗСГО), с инженерными сетями и благоустройством территории (со сносом жилых домов по адресам: Михалковский 3-й переулок, д. 17, Михалковский 3-й переулок, д. 19 и нежилого здания по адресу: Соболевский проезд, д. 20) по адресу: г. Москва, район Коптево, переулок 3-й Михалковский, земельный участок 17/19 (3-й Михалковский пер., вл. 17, вл. 19) (Северный административный округ) (ППТ Коптево, кв. 14, 15, 16, 17, 19)""",Водоотведение
0a0ba23f-dcbb-4948-a494-fd9365dfbe12,Строительство наружных сетей водоотведения для 40 жилых домов по ул. Славянская в г. Кострома (1 этап строительства),Водоотведение
0a1ef801-6aac-4d92-bf13-97b243551e81,Капитальный ремонт сетей водоотведения в муниципальном районе Красноармейский,Водоотведение
0a35358e-16da-4e72-851f-7bc3472bfa2d,Строительство сетей и сооружений дождевой канализации на территории в границах ул. Украинская – ул. Согласия – ул. Рассветная – ул. Горького в г. Калининграде (2 этап),Водоотведение
0a364e9b-aba3-46fb-846b-9e61c67c0c6c,Реконструкция и строительство ливневой канализации в г.Пятигорске Ставропольского края. Ливневой коллектор К-2 Огородная,Водоотведение
0a5b6bed-411c-44f7-a5e1-eb30acbfe3b4,"Капитальный ремонт наружных сетей водоотведения по адресу: Челябинская область, Каслинский район, п. Вишневогорск",Водоотведение
0a5dd7b4-c8dc-45cf-b59d-1819863919e0,"Технологическое присоединение к централизованной системе водоотведения поверхностных сточных вод ГУП ""Мосводосток"" объекта: ""Жилые дома с инженерными сетями и благоустройством территории (со сносом нежилых зданий по адресу: ул. Амурская, д.1, с.1 д.1, с.2 д.1, с.3 д.1, с.4 д.1, с.5 д.1, с.12 д.1, с.18 д.1, с.19 д.1, с.22)"" по адресу: г. Москва, район Гольяново, Амурская улица, земельный участок 1, Корпуса 6, 7, 8 (Восточный административный округ)",Водоотведение
0a620536-e301-47ac-8f9d-6f8bae2f3697,"Вынос сетей канализации по объекту: ""МегаЦОД-3 по адресу: г. Москва, 2-й Южнопортовый проезд, вл.12а",Водоотведение
0a9afc48-d9f5-436d-add1-63e4d4751380,«Строительство внутриквартальных сетей канализации Д=160 мм с целью обеспечения отдельных территорий населенных пунктов централизованным водоотведением (ориентировочная протяженность 1 720м). МО п. Боровский»,Водоотведение
0aa06eff-5bad-4c5b-9d2c-6976db4af59b,"""Участок сетей ливневой канализации от пер. Интернациональный на юг по ул.Горького с очистными сооружениями ливневого стока в Первомайском районе города Ижевска"" Этап 1. Участок сети ливневой канализации от пер. Интернациональный на юг по ул. Горького до существующего коллектора по ул. К. Либкнехта""",Водоотведение
0ade22f5-3d38-4871-9685-e58de83f597e,"""Реконструкция канализационно-очистных сооружений и канализационных сетей пос. Двинской Верхнетоемского муниципального округа""",Водоотведение
0aef517a-0ecf-4afd-8c17-a15a8a8d8de7,"""Подключение (технологическое присоединение) к централизованной системе водоотведения поверхностных сточных вод (дождевая канализация) для объекта капитального строительства: ""Многоэтажный жилой дом со встроено-пристроенными нежилыми помещениями общественного назначения по адресу: г. Самара, ул. Георгия Димитрова, д.74 А в Кировском районе, идентификатор Объекта - р-42""",Водоотведение
0b13f15e-1e37-4da7-b53d-ed183440bbce,Строительство участка сети ливневой канализации в районе дома 6 по улице Соловьиной в городе Костроме,Водоотведение
0b42ea8d-cb4f-43dd-b957-ef8d977b7061,"Муниципальное образование город Новотроицк. Работы по восстановлению утраченной в результате чрезвычайной ситуации работоспособности объекта коммунальной инфраструктуры. Сети канализации напорные, отводящий и подводящий коллекторы, расположенные по адресу: Оренбургская область, г. Новотроицк, Фекальная насосная №2 - очистные сооружения (кадастровый номер 56:42:0305001:14).",Водоотведение
0b4f4166-c0ac-4eca-be22-f5d4a9437000,"Капитальный ремонт канализационной сети от микрорайона им. Стяжкина до КНС-15, до КНС-3 по ул. Артельной до КГ-31 в районе ул. Советской №68а",Водоотведение
0b79ba1a-487c-44b2-ace2-bd17ae4e6893,Канализационные сети.,Водоотведение
0bbeab44-0a07-418f-b5de-6ccc1b4c7566,"""Внешние сети водоотведения к мясохладобойне - предприятию по убою, переработке и хранению животноводческой продукции свиноводческого комплекса АГРОЭКО. Напорный трубопровод""",Водоотведение
0be6da02-a349-4f84-bc5a-1f6da412d8de,"""Сети ливневой канализации до точки подключения инвестиционного объекта ООО ""Пластвэй"" в индустриальном парке ""Ворсино""""",Водоотведение
0be79264-fe98-48bc-871d-7fb17c382ce6,"Строительство сетей водоотведения ул. Набережная, Коммунаров, Советская, Пролетарская, Профсоюзная, Новый переулок, Нагорная, Юбилейная, Спортивная, Пионерская, Лебедевой, Кубенская в с. Устье Усть-Кубинского района Вологодской области",Водоотведение
0c127332-7fed-457f-8221-e10efa43c8f1,Реконструкция участка сети дождевой канализации диаметром 400 мм с устройством очистных сооружений по ул. Льва Толстого в г. Калининграде,Водоотведение
0c2ef722-6fc4-46d8-847e-b5433558f2ad,"Вынос сетей канализации по объекту: ""Жилой дом с инженерными сетями, подземной автостоянкой и благоустройством территории"" (со сносом жилых зданий по адресам: 16-я Парковая, д. 29 корпуса 1, 2) по адресу: г. Москва, внутригородское муниципальное образование Восточное Измайлово, 16-я Парковая улица, земельный участок 29А (16-я Парковая ул., вл.29, корп.1,2) (Восточный административный округ)",Водоотведение
