Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
0466b5b5-6808-4ef0-a28a-f9a9c53f8382,"""Обустройство куста скважин малого диаметра № 105 (№106, 105, 411, 405, 410) Сборновского месторождения""",Технологические установки
046e8b0e-e020-4697-a323-472cc723b0dd,"Расширение площадки скважин №107, 108 Магистрального месторождения. Обустройство скважины №109 Магистрального месторождения",Технологические установки
04821e5e-00b8-438d-b883-87104f5e1301,"""Обустройство дополнительных скважин Онбийского нефтяного месторождения АО ""Татех""(2020)",Технологические установки
0482549c-ed7a-468b-a33f-fec535bd19be,"""РВСП-10000 №13 НПС-3 АРНУ. Строительство""",Технологические установки
049671ba-f91a-45e5-bd91-5514ae0cca7b,"""ОБУСТРОЙСТВО КУСТОВ СКВАЖИН ЛЫАЕЛЬСКОЙ ПЛОЩАДИ ЯРЕГСКОГО НЕФТЯНОГО МЕСТОРОЖДЕНИЯ (3 ОЧЕРЕДЬ). ОПЦИОНАЛЬНЫЕ БЛОКИ""",Технологические установки
049ff4be-2fda-4ede-a14e-885090eafbff,"Обустройство Орловского месторождения нефти. Скважины №26, №27, №28.",Технологические установки
04c2c4aa-06bc-4fad-abc5-01f89defeb05,"""УПН 3 очередь Западно-Зимнего участка""",Технологические установки
04cbc978-7ea2-4f7f-881e-9dd64cb75350,Трубопровод от узла задвижки скважин Южно-Аксютинского месторождения до ДНС Южно-Аксютино,Технологические установки
04e3b5ca-c499-4f01-b56b-0dca342f07a3,"Сбор нефти и газа со скважин №№ 3015, 3016, 3034 Покровского месторождения",Технологические установки
05179939-be59-4215-97c0-2404228d98cd,"""Обустройство Вынгапуровского месторождения. Трубопровод нефтегазосборный. Водовод высокого давления""",Технологические установки
05317c4d-dc27-4091-b841-1e57ef512e22,"""Реконструкция установки комплексной подготовки газа (УКПГ) ""Глебовка"" Этап 1. Строительство административно-бытового комплекса (АБК).",Технологические установки
0548fdcd-9e29-49ae-aebe-45153494a4f7,"Чутырское н/м. Реконструкция УПН ""Чутырь""",Технологические установки
0561ebd6-2c1b-4001-9b4d-82aa5e4f1ddf,"""Сбор нефти и газа со скважин №№ 492, 637 Родниковского месторождения""",Технологические установки
058dcf27-d9b8-4416-83a7-3805df1e93b4,Обустройство Тагульского месторождения. Кустовая площадка № 10 с коридорами коммуникаций,Технологические установки
05c45f73-45e7-40fd-92f1-3043bd2c1b8a,Обустройство скважины № 4353 Герасимовского месторождения,Технологические установки
05c4dd6b-411f-45be-bdca-436ba86e9d96,"""Обустройство куста № 102 Командиршорского месторождения""",Технологические установки
05d1ea2f-c7bd-4f70-afe2-5dc93b1a8b26,"РВС 5000м3 №3 НППС ""Тюмень"". Тюменское УМН. Строительство",Технологические установки
05decea2-4e5a-48aa-b917-9c3ff0ed1a66,Каменный ЛУ. Куст скважин № 402,Технологические установки
06038290-b893-412f-b671-87ec4e49398b,Обустройство одиночных добывающих скважин № 22-р и № 24-р на Пюсейском нефтяном месторождении ЦХП (блок №4),Технологические установки
06068d5d-cb1a-4960-8419-d4c75120b8b4,Обустройство кустовой площадки № 61 Среднеботуобинского НГКМ,Технологические установки
060dc423-0d0b-484d-bb51-a7525a65da9b,Обустройство Тагульского месторождения. Кустовая площадка № 10. Уплотнение. 2 этап,Технологические установки
06158b29-59b1-41a8-845b-c4952496941b,"""Обустройство куста № 104 Западно-Командиршорского месторождения""",Технологические установки
063a93eb-8b55-404c-aba9-d6ea8205e5b2,"«Обустройство скважин №№74, 75, 76, 77, 79 Бешкульского месторождения и строительство выкидных трубопроводов»",Технологические установки
064a041e-8335-499a-9f3b-df614b151247,Обустройство Верхнесалымского месторождения. Лупинг нефтегазосборного трубопровода. Участок Ш53-Ш10.,Технологические установки
065232b8-635a-4386-9219-3efe598a43b2,"""Обустройство Вынгапуровского месторождения. Куст скважин №349, четвертая очередь.""",Технологические установки
065280b7-79af-4d3f-a4f1-1d24293cfe1e,"""ГИС Увинского ЛПУ МГ ООО ""Газпром трансгаз Чайковский""",Технологические установки
066f03d7-02ff-4a9a-ba0a-c6ac388c190c,Обустройство Тагульского месторождения. Кустовая площадка № 12. Уплотнение. 2 этап,Технологические установки
068134e5-6dec-4bfd-af8e-092c111cc0ea,Обустройство Вынгаяхинского месторождения. Куст скважин № 50Б. Вторая очередь,Технологические установки
06aaadee-2926-41df-9f5c-a9c4f5cce323,Обустройство скважины №1501 Пронькинского месторождения,Технологические установки
06ab690f-6eb3-43c7-b74e-019beb2e1392,"""Обустройство Лодочного месторождения. Кустовая площадка №7 с коридорами коммуникаций. 3 этап строительства""",Технологические установки
06bedd0a-0837-4272-a07c-df340cd11e66,"""Кусты №19В, 213 Повховского лицензионного участка. Площадка""",Технологические установки
06c7a516-a0e3-478a-a42d-2125f84bf890,"""Реконструкция дюкерных переходов Суборского нефтяного месторождения по ТПП ЛУКОЙЛ-Усинскнефтегаз""",Технологические установки
06e1c5ce-20ba-4664-b890-e028e001ce04,Обустройство Кондаковского месторождения. Этап 2,Технологические установки
06e45df4-4d9a-47ce-be1d-79c67300d085,"""ОБУСТРОЙСТВО КУСТОВОЙ ПЛОЩАДКИ №13. ЭТАП №1. РЕКОНСТРУКЦИЯ""",Технологические установки
06ee6bfe-d776-474c-8209-c4d666aa947f,"""Строительство блока отстойников на УППН ""Суханово"" ЦДНГ-7""",Технологические установки
06f42c68-acde-49a5-9cf5-5cb1e4edd89a,"""Реконструкция опасного производственного объекта ""Участок предварительной подготовки нефти, УПСВ ДНС-3 Тевлинско-Русскинского месторождения""",Технологические установки
072313c2-4757-49ab-8e42-0aa2e1a3de12,"Кусты №4Б, №15, №59, №64Б Сыморьяхского месторождения",Технологические установки
077a2af1-b8af-4ce6-bb0e-e8edde2200f4,"""Обустройство куста скважин № 407б Тагринского месторождения""",Технологические установки
079ec392-3971-4321-b191-62da34752465,Обустройство пласта Ач51 Уренгойского месторождения Самбургского лицензионного участка. Расширение,Технологические установки
