Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
0065e063-e546-4838-ab1b-3e26a3f02d05,"Капитальный ремонт (восстановление) водопроводной сети по адресу: ул. Винокурова д. 14 в интервале кол. № 43168- в/ввод № 27142, з/сеть 27142 в интервале ул. Большая Черемушкинская д. 10к2-т.1900034114- ул. Винокурова д. 14, д. 1900034114- ул. Винокурова д. 16 (ГБУЗ ""ДГП № 69 ДЗМ"" Филиал № 3)",Водопроводы
00710763-0901-4a1a-9dc1-c07245e8fdbf,"""Проектирование и строительство водопроводной сети из полиэтиленовых труб диаметром 500 мм, протяженностью 2000 м, в г. Михайловске от сетей МУП ""Водоканал"" г. Ставрополя (в районе ЦРБ г. Михайловска, ул. Ленина, 1) до пер. Князевского""",Водопроводы
007be947-6834-429b-8851-83bd6900d56f,"Проектирование водопровода от дер. Рикасиха до пос. Лай-ский Док МО ""Приморское"" Приморского района Архангель-ской области",Водопроводы
007da4ba-09eb-4e3f-88e6-a4a9cb526124,Строительство системы водоснабжения с.Чибисовка Губкинского района Белгородской области,Водопроводы
007eb9ea-73d9-4325-8465-0136c7b21cef,Модернизация системы водоснабжения с. Куликово Усманского района Липецкой области,Водопроводы
0080de25-a7ff-4170-982d-e9445761a56b,"Строительство объектов водоснабжения с реконструкцией ветхих сетей Муниципального образования г.о. Баксан КБР. 5-ая очередь-прокладка новых сетей водоснабжения в восточной части с.Дыгулыбгей, г.о. Баксан",Водопроводы
0084ca3c-1c1e-4a0b-930d-ce3123ea9f18,"""Капитальный ремонт наружных сетей водопровода от котельной ЦРБ с. Хоринск до ТК-5, от ТК-1а до здания родильного отделения""",Водопроводы
008a17b5-41b2-4bae-b939-272cbb3e1e0f,Реконструкция системы водоснабжения с.Кошки-Шемякино и д.Чувашское Пимурзино Буинского муниципального района РТ,Водопроводы
008bcee2-a96c-4dff-9122-0a3ec8a4ba6c,Капитальный ремонт сетей водоснабжения станицы Крупской Крупского сельского поселения Выселковского района Краснодарского края,Водопроводы
0091f6a1-3c1b-4fb0-b625-dd1e221fa737,Капитальный ремонт водопроводной сети с. Первомайское Федоровского муниципального района Саратовской области,Водопроводы
00978a4f-873a-48db-9340-ab7913931612,Реконструкция системы водоснабжения западной части г.Харовск Вологодской области,Водопроводы
00a88d46-6fbf-408e-85de-98dbc287b0e7,Реконструкция участка водовода Д500мм по Нурсултана Назарбаева (от ул. Тихомирнова до ул. Хади Такташа),Водопроводы
00be6d7d-77af-4f0b-8bc0-f75bd1e929c6,"Капитальный ремонт сетей водоснабжения в д.Порва, ул.Молодёжная, ул.Песочная Якшур-Бодьинского района Удмуртской Республики",Водопроводы
00d362fb-8612-4e9d-8eb8-1d10e6a54a84,Капитальный ремонт водопровода в с. Кугарчино Рыбно-Слободского муниципального района Республики Татарстан,Водопроводы
00daf32d-05e1-40cf-a394-08dc180dcf58,Капитальный ремонт наружных водопроводных сетей в центре города Павловский Посад (1-4 этапы),Водопроводы
00fb450d-b6d4-4a69-b602-735fc6d186bd,«Капитальный ремонт (с заменой) участка сетей водоснабжения методом ГНБ по улице Снежная в городе Югорске»,Водопроводы
01016669-3c05-475b-ada2-72172ba80108,"Капитальный ремонт инженерных сетей в рп. Михайловка. Замена водовода от водоразборной будки по ул. Советская, 92а до ВК МКД 12-13 по ул. Вокзальная",Водопроводы
0101d09e-002c-4143-bf6f-07ed7502ae3b,"Капитальный ремонт участка водопроводной сети, расположенной по адресу: Пензенская область, Кузнецкий район, с. Сухановка по улице: Солнечная",Водопроводы
0103de77-32c9-4e5f-b23f-e354523142e3,"Капитальный ремонт сетей водоснабжения Можайский г.о. ВДО ""Можайский"" (д. Игумново) к ж/д №1",Водопроводы
01181569-79b1-4171-9c8c-eccd4f1055ba,Капитальный ремонт подводящего водопровода от х. Калинин до ст-цы Кугоейской,Водопроводы
011b1aa6-f9c8-44b4-9750-ba25483fb4e8,Строительство системы водоснабжения в п.Свень-Транспортная Брянского района Брянской области (2 очередь),Водопроводы
011d3151-4c72-4b27-8b24-0d366a87bd9a,"Вынос сетей водопровода по объекту: ""Жилой дом с инженерными сетями и благоустройством территории (со сносом жилых зданий по адресам: Можайское шоссе, д.19, ул. Петра Алексеева, д.3) по адресу: г. Москва, внутригородское муниципальное образование Можайское, улица Петра Алексеева, земельный участок 3 (зоны 6.1 и 6.2)"" (ППТ кварталов 78-80, 107-110 Можайского района города Москвы (Западный административный округ))",Водопроводы
0124a138-7ff9-4621-820f-96c7f24a434a,"""Капитальный ремонт (восстановление) водопроводной сети по адресам: ул. Ак. Миллионщикова д.16-д.18, в интервале кол. №№ 66468-66469-74187-74186-74185-74184-74183-74182-87963-гл.вр. ул. Академика Миллионщикова, д.18 с.2 д.18, в интервале кол. 74184 - вв36036 з/с 36036 ул. Академика Миллионщикова, д.14, д.16 с.3, в интервале кол.66469 - вв34692 з/с 34692 "". Этап 2",Водопроводы
01376947-8118-41e0-8883-a3cd97339615,"Капитальный ремонт участка магистрального водовода №2 к ПНС, протяжённостью 526 м, г. Гусиноозёрск",Водопроводы
01383e80-1557-45df-851e-cac9594f5bb4,Реконструкция участка водовода от ул. Магазинная/Красикова до ул. Равнинная в г. Казани Республики Татарстан,Водопроводы
013a7ab3-ee7a-4cd3-8b4c-cc4892822c9b,"""Водоснабжение по ул.Медведева г.Козельск Калужской области""",Водопроводы
013d1af3-88c1-4f32-bcbd-bf88d4626571,"Капитальный ремонт внутриплощадочных тепловых сетей Д=57-150мм цехов Северного Комплекса Водопроводных Сооружений, Очистных Сооружений Канализации и Автотранспортного цеха",Водопроводы
013f33c2-6769-4da0-973f-febca2e1a9fd,"Реконструкция объекта инженерной инфраструктуры: ""Наружное водоснабжение в р.п. Александро-Невский Александро-Невского района Рязанской области"" по адресу: 391240, Рязанская область, Александро-Невский район, р.п. Александро-Невский.",Водопроводы
014d40f3-a195-48f6-9dfe-5e23e39acfdc,Строительство подводящего водопровода со станцией обеззараживания воды для водоснабжения с. Чиркей Буйнакского района Республики Дагестан,Водопроводы
01612247-6861-4d26-80fa-3d6263192e3a,"""Водопровод по пер. Сельскохозяйственный, ВК-60 -ВК-75"" (инв. №4149 рег.№4150)""",Водопроводы
0168299c-bcb8-47fb-84a2-3472728a081d,Строительство водоводов Южно-Хыльчуюского нефтяного месторождения 2025г.,Водопроводы
016f82bd-f7ea-4a98-a6bd-5e52b5998c76,"""Капитальный ремонт системы водоснабжения. Магистральный водовод Муниципального образования г.Новотроицк. Капитальный ремонт участка Северно-Западного водовода Ду 500мм, расположенного по адресу: ул.Радищева - ул.Лермонтова""",Водопроводы
0187bfdc-5d02-4ca1-ad76-507497722f7b,Капитальный ремонт водопроводной сети д. Увалы,Водопроводы
01880d45-fa21-4070-a60a-687e0ccd0d39,"""Реконструкция (модернизация) сетей водоснабжения ул.Свободы жд.ст.Хворостянка Добринский район""",Водопроводы
018b38c4-37c1-4ae9-a18b-4c65de72fe9e,"""Реконструкция сетей водопровода с переподключением потребителей в п. Хиславичи Смоленской области""",Водопроводы
0190879a-44a7-480b-978a-ee20ddaae8fa,Реконструкция сетей водоснабжения в с. Ленино-Кокушкино Пестречинского муниципального района Республики Татарстан,Водопроводы
019136e5-edbf-4c0d-9147-d573c175ee16,"Система водоснабжения АО ОЭЗ ""ППТ ""Новгородская""",Водопроводы
0191719f-c0c4-4fff-bb46-e878d8ef0365,Водоснабжение д. Сергеевка муниципального района Уфимский район Республики Башкортостан,Водопроводы
01933b08-36fb-4238-a7dd-23bf0d351f5a,Строительство водозабора в рамках модернизации систем водоснабжения двадцати населенных пунктов Добровского муниципального района с целью обеспечения качественной питьевой водой - 1-й этап 1 очередь - строительство участка водопровода Новоселье-Капитанщино с водозабором в границах сельского поселения Замартыновский сельсовет,Водопроводы
01ace124-036c-41b2-868d-d596eefae47a,"Реконструкция сетей холодного водоснабжения, п. Бородинское поле, Можайский г.о., в т.ч. ПИР",Водопроводы
01adb64d-6c10-4769-b569-163601232ab2,"Капитальный ремонт сетей водоснабжения в г.Нижний Новгород. Выполнение проектно-изыскательских работ и строительно-монтажных работ по капитальному ремонту объекта ""Водовод Ольгино-ГАСТ Д-500/1000мм""",Водопроводы
01b4d1ab-06d6-499a-a397-76ca57aac4d0,"Вынос сетей водопровода по объекту: ""Завершение строительства незавершенного строительством объекта ЖК ""Академ Палас"" по адресу: г. Москва, пр-т Вернадского, вл. 78 (земельный участок с кадастровым номером 77:07:0014006:1002)",Водопроводы
01b66e1f-728f-48e5-907b-33d12ea2308c,Ремонт и восстановление участков магистральных водопроводных сетей в с. Красная Поляна Назаровского района Красноярского края в целях обеспечения гарантированного водоснабжения потребителей,Водопроводы
01b77bab-cd04-436d-b998-726fde67ee8a,Царичанское+Филатовское месторождение. Водоводы системы ППД. Вторая очередь,Водопроводы
01bcf969-2dd6-4976-85cb-50ae3e67b76e,Строительство ПНС и строительство сетей водоснабжения,Водопроводы
01c024e8-95c0-4346-be2f-a352511d97fa,Сети водоснабжения с.Бестях Хангаласского улуса РС(Я),Водопроводы
01c12209-a7c4-4eea-ab38-67fefa71571d,"Наружные сети водоснабжения к жилым домам 22 микрорайона ж.р. ""Замелекесье"" г. Набережные Челны (1-21 этапы)",Водопроводы
01ddf2a5-b1ad-486c-a6f5-27dad1db883f,Капитальный ремонт участков водопроводной сети в д. Пушкарная Кромского района Орловской области,Водопроводы
01e733d9-b2eb-419e-aa36-172d2c4de4ad,"Вынос сетей водопровода по объекту: ""Жилой дом с инженерными сетями и благоустройством территории по адресу: г. Москва, район Перово, ул. Металлургов, влд. 30 (Восточный административный округ)",Водопроводы
01ee1a81-7919-4891-9731-571d8c01bdf0,"""Строительство и реконструкция инженерных сетей центральной исторической части г. Улан-Удэ. Водоснабжение и канализация""",Водопроводы
01faa8b2-2665-46a0-b66e-1eb6c4a87fa5,"Строительство водовода от станции водоподготовки р.п.Новая Майна до с. Сабакаево, с.Лебяжье, д. Аврали Мелекесского района Ульяновской области",Водопроводы
021c1840-4422-4014-80d9-57cbe4a373c7,"Капитальный ремонт сетей водоснабжения села Пестравка муниципального района Пестравский Самарской области (ул. Нефтяная, ул. Шоссейная, ул. Октябрьская, пер. Юбилейный, ул. Рабочий проспект, пер. Ремесленный, ул. Степная, ул. Полевая, ул. Коммунистическая, пер.Комиссарский)",Водопроводы
022b4ad4-af20-4d7b-9dd9-31c21de63e51,Система водоснабжения с. Сунтар Сунтарского улуса (района) РС (Я) (1 этап Строительство водозабора на реке Вилюй со станцией водоподготовки и водопроводом до действующего водопровода),Водопроводы
022b7afb-6b7f-4b3d-87ac-57f7e5858c49,Строительство сетей и сооружений водоснабжения в с.Яблоново Корочанского района Белгородской области,Водопроводы
022d736a-f359-454f-8bba-da9e7bcceeec,"Выполнение работ по разработке проектно-сметной документации на объект ""Строительство водопровода по ул. Ленина от ул. Перовской до пр. Победы, от пр. Победы до ул. Молодёжная - ул. Южная, по ул. Рощина от ул. Энгельса до ул. Южная для присоединения жилого дома по адресу ул. Рощина, 25""",Водопроводы
022f96c1-5ab6-4e0f-9c77-db4e8048e467,"Прокладка водопроводной трассы по ул. Речная, Пархоменко, Голощапова, Спортивная, Гайдара, Мичурина и участок по ул. Ленина, г. Ужур",Водопроводы
02538d69-25f3-4971-86ec-e41c1a3f735d,"""Строительство водопровода от водопроводного колодца на территории водозабора №2, расположенного в с. Кинель-Черкассы, до водозабора на улице Казакова в с. Кинель-Черкассы""",Водопроводы
025c6a37-aa6c-4bc2-b6f2-4de1fb1410b9,"Реконструкция участков сети водоснабжения в г. Майкопе. Участок по ул. Лермонтова от ул. Пионерской до ул. Калинина, Ø 350 мм L=1,280 км",Водопроводы
0273f58c-91c2-44a4-916a-b762b4169ff7,Капитальный ремонт тепловой и водопроводной сети от ТК1 до ТК28-1 по ул. Билютинская (протяженностью 437 метров в двухтрубном исчислении теплосети и 437 метров водопроводные сети) в п. Татарский ключ. Общая протяженность 1 311 метров,Водопроводы
02817a08-3748-4f63-894e-7b3910b46401,Магистральный водопровод Азовского сельского поселения Северского района Краснодарского края,Водопроводы
0283b00f-a666-4e8a-908c-c35751bc77fe,"""Строительство водозаборных сооружений и водопроводных сетей в с. Дарбанхи Гудермесского муниципального района"".",Водопроводы
02926065-a8cf-4c25-93ae-85a8d905a6d4,Водопроводная сеть.,Водопроводы
02a59db1-2544-475d-a313-f26c67608dd1,"Капитальный ремонт сетей центрального водопровода Каневского сельского поселения, участок 1",Водопроводы
02b10ed6-7db7-4854-8e50-d7b1020dd4dd,"Водоснабжение х.Сусат, х.Костылевка Семикаракорского района Ростовской области",Водопроводы
02b28fac-14de-4217-8bdb-bc833f942775,Капитальный ремонт участка водопроводной сети по ул. Пастухова от водоразборной колонки №55 до водопроводного колодца № 249 в п. Балезино Балезинского района Удмуртской Республики,Водопроводы
02b4f7c5-b778-48bf-a356-418f0b009cc9,"""Строительство сетей водопровода для обеспечения объектов социальной инфраструктуры (Д=110мм, ориентировочная протяженность 6,80 км.)""",Водопроводы
02b50859-f65d-47fa-a48b-0e3c9c699bae,"Капитальный ремонт водопроводных сетей в ст. Ирклиевская по ул. Красная от дома 2 до ул. Кирова, правая сторона, по ул. Красная от дома 31 до ул. Кочубея, левая сторона, по ул. Пионерская от дома 3 до дома 51, по ул. Чкалова от дома 5 до ул. Энгельса, по ул. Первомайская от дома 1 до дома 68, по ул. Челюскинцев от дома 2 до дома 65, по ул. Хозяйственной от дома б/н до ул. Челюскинцев, 6.",Водопроводы
02bea455-3073-4857-8c31-c5a7847af35f,"Капитальный ремонт водопровода по ул. Урицкого (от ул. Толбухина до ул. Урицкого, 27) города Ульяновска",Водопроводы
02bfdaf5-1732-4dd3-af8e-0fcffb445903,Реконструкция сетей водоснабжения д. Алмалы Заинского муниципального района Республики Татарстан,Водопроводы
02d12abf-1cec-44c8-8ecc-de27ae5a16ad,Строительство водопровода d 300 мм по Радиозаводскому шоссе со строительством станции повышения давления от ул. Куйбышева до ул. Орловской г. Мурома. Корректировка,Водопроводы
02d4f0e3-9cbe-4e6d-916a-cb31f108ee2e,"Реконструкция участков сети водоснабжения в г. Майкопе. Участок по ул. Пионерская от ул.Чкалова до ул. Юннатов Ø 350, L=0,640 км",Водопроводы
02e94732-4e46-40cf-8ad6-91cc7657ba44,Капитальный ремонт системы водоснабжения от ул. Площадь советов 27 до Площадь советов 20 с. Бея Бейского района Республики Хакасия,Водопроводы
02ea62e9-6cd2-498a-8853-5e1db7e74df6,Капитальный ремонт сетей водоснабжения в с. Старый Айван Арского муниципального района Республики Татарстан,Водопроводы
02ede4c4-c7d9-4d1d-bf4a-b58743be2b00,Капитальный ремонт магистрального водопровода по ул. Совхозная от ул. Никитина до ул. Островского г. Воткинска Удмуртской Республики,Водопроводы
02f2d898-0182-4eb3-824d-fe04ce597a64,"Капитальный ремонт водопровода по ул. Тульская от ж/д №1 до ж/д №21а в составе сооружения с кадастровым номером 64:48:000000:224777 - Водопровод питьевой воды по Заводскому району, Саратовская область, г.Саратов, Заводской район",Водопроводы
02f49c0b-40d0-42f6-ae21-2c15270d72c0,Строительство сетей водоснабжения восточной части с. Новолуговое Новолуговской сельсовет,Водопроводы
03022f6a-427b-4263-9bfc-8c21f39baa28,"Капитальный ремонт объектов водоснабжения, расположенных за пределами территории СНТ ""Ромашка"" ЖБК-70 - ""Нокса"" Пестречинского муниципального района РТ",Водопроводы
0308a52b-2a9c-4214-8771-0a55d2ab107a,"Водовод Д=600 мм по ул. Антона Петрова, от ул. Малахова до ул. Попова",Водопроводы
030df26f-ffce-4ede-9727-c0bac7c291e8,"Реконструкция водопроводной сети по адресу: Береговой проезд д.2, стр.9 в интервалах кол.№№ 57620-33720",Водопроводы
031ce228-c972-42e7-a0b3-ff40175e54ee,"Строительство сетей водоснабжения по ул. Зеленая  в н.п. Каменск, ул. Садовая и ул. Луговая в н.п. Заполье Суражского района Брянской области",Водопроводы
0320773b-bd83-4f69-8c03-1750aad62ed5,"Водоводы неочищенной воды и водопровод для собственных нужд водозабора №2, расположенные по адресу: Российская Федерация, Томская область, городской округ ЗАТО Северск, г. Северск, ул. Сосновая, 22, сооружение №1в (инв. № 101032700)",Водопроводы
03235977-b74d-43d7-b17f-88eccca6b1d6,Капитальный ремонт системы водоснабжения Красноперекопского района (НС Таврическое - НС Рисовое),Водопроводы
0330c084-e005-412e-8bfa-b5e7e6fb2743,"Модернизация системы водоснабжения ""Центральная часть"" Омутнинского городского поселения Омутнинского района",Водопроводы
0339c560-9eed-4f8a-8b9c-396a73a11319,Капитальный ремонт сетей водоснабжения с. Порецкое (участок от СК-1 до скважины) Суздальского района Владимирской области,Водопроводы
0343d5e4-12d6-4856-b170-ac0bbd5035ea,Строительство системы водоснабжения с. Байкалово Свердловской области. Проект возобновления строительства.,Водопроводы
034c80f1-7445-4ddf-aa32-ad5c7efdffd7,"""Капитальный ремонт сетей водоснабжения (1 этап). Водопровод Д700 мм, Борисенко,44 г. Владивосток""",Водопроводы
03607437-be98-430e-a06a-49ff0b2f0378,"""Строительство водовода ""Верхний Яшкуль - Элиста""",Водопроводы
03636ba1-8b13-4ccd-9696-6781412761bf,Капитальный ремонт наружных сетей водоснабжения ст-цы Новоалексеевской МО Курганинский район,Водопроводы
037bfb07-5229-41e6-b76f-054616de45b9,Строительство сетей водоснабжения в селе Большой Самовец Грязинского района с увеличением нагрузки Большесамовецкого водозабора.,Водопроводы
039f2d38-b118-497e-826b-f77c240cb43a,"Капитальный ремонт водопровода, расположенного по адресу: Пензенская область, Иссинский район, с. Приволье, ул. Молодежная",Водопроводы
