Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
019408d2-4ae3-489a-be60-daf523c8a5b6,"Реконструкция металлического моста на 263 км пк 4,17 м участка Арсентьевка - Ноглики Дальневосточной железной дороги","Мосты, тоннели"
019a5df5-dc4f-4b5b-8f70-1c37b0dfb68e,Капитальный ремонт мостового перехода через реку Кирва на км 1+096 автомобильной дороги общего пользования межмуниципального значения Осипово – Посёлок в Пестовском муниципальном районе Новгородской области,"Мосты, тоннели"
019e2327-dd62-4843-ab4b-bdf5e26a0990,"""Капитальный ремонт моста через р. Судость на автомобильной дороге по улице Ленина в городе Почеп Брянской области""","Мосты, тоннели"
01aa8e2b-e229-445b-82b6-91852c1b4010,"""Капитальный ремонт мостового перехода через р.М.Иша на км 0+780 автомобильной дороги ""Паспаул-Салганда""","Мосты, тоннели"
01af5815-fecb-480c-b152-2d2b954061b1,"Капитальный ремонт автомобильной дороги Подъезд к с. Порог от автомобильной дороги Савинский - Ярнема - Онега, км 2+185, мостовой переход через реку Вонгуда в Онежском районе Архангельской области","Мосты, тоннели"
01bf5f70-fff6-46b3-9345-2f4867dff39b,Капитальный ремонт автодорожного моста через р. Маглуша в п. Первомайский городского округа Истра,"Мосты, тоннели"
01cd83e0-9713-4bdb-840d-2db50c8fa79e,"""Капитальный ремонт моста через ""Саратовский канал им. Е.Е. Алексеевского"" на км 16+600 автомобильной дороги Р-228 Сызрань - Саратов - Волгоград, подъезд к Балаковской атомной электростанции, Саратовская область""","Мосты, тоннели"
01d23f82-15f3-44be-ac74-4a58fd59117b,Капитальный ремонт моста через р.Сым на автомобильной дороге Коса-Пятигоры км 25+102 Косинского муниципального района,"Мосты, тоннели"
01e8faa3-c349-4da2-8a06-886144af4b7a,"Подвесной пешеходный переход через водоем в г. Абакане, Республика Хакасия","Мосты, тоннели"
021e29a5-7953-4f0c-a29f-b76440248731,"""Капитальный ремонт моста через р. Уллучай на км 907+568 автомобильной дороги Р-217 ""Кавказ"" автомобильная дорога М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой, Республика Дагестан""","Мосты, тоннели"
022c8b81-8fd4-447b-b94f-682397b7ff0e,Автомобильная дорога Старосубхангулово - Мраково. Реконструкция мостового перехода через р. Малый Ик на км 79+867 в Кугарчинском районе Республики Башкортостан,"Мосты, тоннели"
022d8e72-aa6a-4832-9bcb-66abd657f917,"Автомобильная дорога: ""Уфа - Бирск - Янаул - а/д Кузбаево - Янаул"". Реконструкция мостового перехода через р. Атлегач на км 0+805 в Калтасинском районе Республики Башкортостан","Мосты, тоннели"
022e1988-2aa1-4072-936c-fd60d1d066a1,"Капитальный ремонт тоннеля Архонского на км 52+300 автомобильной дороги А-164 ""Транскам"" Карджин - Алагир - Нижний Зарамаг - граница с Республикой Южная Осетия, Республика Северная Осетия-Алания","Мосты, тоннели"
02329755-bdef-4567-a637-fe191f1ebf80,"Капитальный ремонт моста через реку Шарьинка по ул.Советской в районе дома №3 в п.Ленинский, г.Шарья, Костромской области","Мосты, тоннели"
025469a3-1f83-4120-8cc3-7f8461e8fc26,"Капитальный ремонт моста через реку Судынка на ул. Ворошилова в г. Мглин Брянской области, км 0+420 автомобильной дороги Мглин-Сураж","Мосты, тоннели"
02610f01-ab1c-41de-b26e-093bcfb408eb,Мост через реку Черная км 195+195 а/д Красноярск-Енисейск,"Мосты, тоннели"
0268ad46-4911-4f70-baaa-f4b484999ddf,"""Путепроводная развязка на пересечении автомобильной дороги 3400013 Волгоград - Октябрьский - Котельниково - Зимовники - Сальск (км 21+508) и железной дороги Горнополянский - Канальная (км 30+105)""","Мосты, тоннели"
0297dba2-d5ea-4147-bf8e-7133bf36517d,Реконструкция мостового перехода через ручей на км 7+465 автомобильной дороги Угловое - Артем в Приморском крае,"Мосты, тоннели"
02c85456-8ada-43df-9198-8ddc48c7006f,"Путепровод через железнодорожные пути Смоленского направления Московской железной дороги, внеуличные пешеходные переходы, переустройство инженерных сетей и коммуникаций, в т.ч. железнодорожная инфраструктура, с реконструкцией ул. Барклая, Промышленного и Багратионовского проездов, обеспечивающей их функционирование. 3 Этап. Внеуличный пешеходный переход на пересечении Багратионовского проезда, ул.Барклая, ул. Олеко Дундича (корректировка)","Мосты, тоннели"
02dedde0-8956-4c1f-800f-b4e1629beb16,Реконструкция моста через реку Салауш в д. Уразаево в Агрызском муниципальном районе Республики Татарстан,"Мосты, тоннели"
02e57d1c-4964-495c-8e73-73cab5429a72,"""Капитальный ремонт моста через р. Буксыкен на км 366+082 автомобильной дороги Улан-Удэ-Турунтаево-Курумкан-Новый Уоян в Баргузинском районе Республики Бурятия""","Мосты, тоннели"
02e8ef42-506e-4ef8-b215-8975b9f2a4c0,Реконструкция мостового перехода через р. Уня на км 10+800 автомобильной дороги Оек - Кударейка в Иркутском районе Иркутской области,"Мосты, тоннели"
02fce2be-1da2-4658-9c17-15e7cef34684,"""Капитальный ремонт мостового перехода через р.Узнезя на км 6+861 автомобильной дороги ""Узнезя - Бешпельтир""""","Мосты, тоннели"
030d4592-4036-4cb1-88ed-95606cd26152,Капитальный ремонт моста через реку Ташелка на км 59+130 автомобильной дороги Илек - Ташла - Соболево в Ташлинском районе Оренбургской области,"Мосты, тоннели"
032483cc-3c1c-4b43-8e31-871a13970c15,Путепроводная развязка на 63 км железной дороги Минеральные Воды - Кисловодск Северо-Кавказской железной дороги,"Мосты, тоннели"
032d7c1b-a9eb-4f7b-ab80-b234f4803506,"Капитальный ремонт автомобильной дороги Подъезд к пос. Шидрово от автомобильной дороги М-8 ""Холмогоры"" - Котлас, км 2+446, мостовой переход через ручей Норкин в Виноградовском округе","Мосты, тоннели"
036c96aa-801c-4b5c-a852-30be44c8a1fd,Станция Барановский Дальневосточной железной дороги с устройством путепроводной развязки (искл. режущих маршрутов в одном уровне),"Мосты, тоннели"
038308ef-dbf6-483f-8fb7-42671465217f,"Капитальный ремонт по объекту: Мост через реку Нерлей на км 7+920 автомобильной дороги ""г. Ардатов - с. Большое Игнатово"" - с. Урусово - с. Жабино в Ардатовском районе Республики Мордовия","Мосты, тоннели"
03834418-395c-49a3-b43f-610ccea7257c,Пешеходный переход через МЦД-2 в районе ул. Медиков,"Мосты, тоннели"
03955cdf-9406-4af8-b43b-a571f1ddd837,Мост над каскадом прудов по ул. Ленина в г. Альметьевск,"Мосты, тоннели"
039dafd7-b1f2-4c9a-9f3a-e91df2a92378,"""Строительство транспортно-пересадочного узла на станции Черкизово"" Этап 1 ""Строительство здания остановочного пункта, надземного пешеходного перехода""","Мосты, тоннели"
03a2ea07-ac3c-4cc1-9484-4fef2d446976,"Строительство мостового перехода через реку Катанга на автодороге ""Хаталангская"" ПК604 - ПК605 (Иркутская область, Усть-Илимский район, Северное лесничество, Сосновское участковое лесничество, Катангская дача, квартал 31)","Мосты, тоннели"
03a88a0f-c932-4edd-b466-1e75d09365c7,Тоннельная развязка железнодорожных путей,"Мосты, тоннели"
03beeb86-4b0c-4038-bd6b-e6331c778d4f,"""Капитальный ремонт путепровода через транспортную развязку в пересечении с автомобильной дорогой ""Южный подход к г. Щекино"" на км 216+238 автомобильной дороги М-2 ""Крым"" Москва-Тула-Орел-Курск-Белгород-граница с Украиной, Тульская область""","Мосты, тоннели"
03cadb9a-6e9c-40ce-822b-3adc46cdac92,"«Капитальный ремонт моста через канал на км 666+928 автомобильной дороги Р-217 «Кавказ» автомобильная дорога М-4 «Дон» – Владикавказ – Грозный – Махачкала – граница с Азербайджанской Республикой, Чеченская Республика»","Мосты, тоннели"
03cfc85c-0bc3-4f96-9a19-51ea35904eb4,Мостовой переход через реку Обь в районе г. Сургут,"Мосты, тоннели"
03d37dda-ee5c-4c37-9efa-9b966a54df4e,"""Реконструкция автомобильной дороги Троицко-Печорск-Комсомольск-Якша от автомобильной дороги Ухта-Троицко-Печорск на участке км 77+903.Мост через р.Тыбью""","Мосты, тоннели"
04169ff7-1bdc-43be-85a1-420673b53e7b,"""Капитальный ремонт пешеходного моста через реку Сочи по ул. Парковая, Центрального района г. Сочи (включая проектно-изыскательские работы)""","Мосты, тоннели"
0418d524-7d95-47d7-8c61-b0bdb58a1cdd,"Строительство и реконструкция автомобильной дороги М-5 ""Урал"" от Москвы через Рязань, Пензу, Самару, Уфу до Челябинска. Строительство путепровода через железную дорогу на км 960 на автомобильной дороге М-5 ""Урал"" Москва - Рязань - Пенза - Самара - Уфа - Челябинск, Самарская область","Мосты, тоннели"
042d31aa-eb90-4558-af53-7d8ed5be95ac,"Реконструкция мостового перехода на км 169+673 автомобильной дороги ""Введеновка - Февральск""","Мосты, тоннели"
043490c3-e260-4260-9fe4-288e5e41dc35,"Мостовой переход через реку Широкая Балка на автомобильной дороге г. Горячий Ключ - г. Хадыженск, км 39+147 в городе Горячий Ключ","Мосты, тоннели"
04591fad-b257-4ec4-84ea-2466ed967c14,"Капитальный ремонт моста через реку М.Волховец на км 40+125 (правый) автомобильной дороги М-10 ""Россия"" Москва - Тверь - Великий Новгород - Санкт-Петербург, подъезд к г. Великий Новгород со стороны Москвы, Новгородская область","Мосты, тоннели"
045b32a7-08cd-4be5-bcfe-92ab52e75d5c,Капитальный ремонт моста в п. Тополя,"Мосты, тоннели"
0465094a-5cfa-4101-9281-731be3334da7,Строительство пешеходного перехода через ручей Архиерейский в г. Валдай Новгородской области,"Мосты, тоннели"
046f6bb9-761d-46a0-8735-eee576ec855d,Реконструкция мостового перехода через р. Палана на км 6+363 автомобильной дороги Палана - строящийся аэропорт,"Мосты, тоннели"
04899377-88ad-4772-b0b2-cc2a61a0c93d,Реконструкция моста на 131 км ПК 5 участка Угловая - Мыс Астафьева Дальневосточной железной дороги,"Мосты, тоннели"
048b3403-5127-4c96-b4c2-927f6bf7b23e,"Капитальный ремонт моста через реку Зея, в нижнем бьефе Зейской ГЭС","Мосты, тоннели"
04b1956e-4024-4ec4-8e78-86430d129a9c,"Разработка проектно-сметной документации мостового перехода через р. Кырамда на км.14+164 муниципальной автомобильной дороги ""Сунтар-Сарданга""","Мосты, тоннели"
04b9f90f-a3d4-4341-a289-24d8b80cc379,"""Реконструкция моста через ручей на автомобильной дороге подъезд к д.Шатанова, км 2+813 (Ярковский район)""","Мосты, тоннели"
04cbdf51-fb8a-4900-87fd-28a40f7b9b51,"""Капитальный ремонт моста через р. Лопва на км 56+607 автомобильной дороги А-153 Нытва - Кудымкар, Пермский край""","Мосты, тоннели"
04ccfd63-a5c1-4818-83bc-299a8cb593d6,Строительство автодороги по ул. Строительная от ул. Победы до ул. Гожувской с путепроводом через железную дорогу и р. Инсар,"Мосты, тоннели"
04ea932d-b04a-4706-b22a-1cd59e34a8c4,"Строительство эстакад основного хода, многоуровневых транспортных развязок в районе ст.м.""Владыкино"", ст.м.""Ботанический сад"", эстакад-съездов Ярославского шоссе, мостов через р.Яуза, р.Лихоборка, переустройство инженерных сетей и коммуникаций, с реконструкцией/строительством улично-дорожной сети на участке от Ярославского до Дмитровского шоссе в рамках строительства Северо-Восточной хорды. Этап 3. Участок Северо-Восточной хорды от Северной рокады в районе ж.д. платформы НАТИ (Октябрьская ж.д.) до транспортной развязки с Ярославским шоссе. Корректировка","Мосты, тоннели"
04ed7c1e-f90c-4b2a-bfc5-37de2986f095,"""Реконструкция автодорожного путепровода в городском округе - город Галич Костромской области через железнодорожные пути участка Буй-Свеча Северной железной дороги""","Мосты, тоннели"
05037129-9bec-4db4-93df-34c40d4b5978,Капитальный ремонт моста через р. Чемитоквадже на км 125+612 автомобильной дороги А-147 Джубга - Сочи - граница с Республикой Абхазия,"Мосты, тоннели"
0514c9ab-eb38-4c2e-8d36-bb05449115d4,Создание систем безопасности пешеходных переходов согласно адресного списка в 2022 году. Тоннель пешеходный Больница им. Алексеева,"Мосты, тоннели"
0526882f-d721-458d-b624-e954d5c1200b,"Создание систем безопасности пешеходных переходов согласно адресного списка. Тоннель пешеходный ""Пл. Ильича"" (Пл. Рогожской Заставы)","Мосты, тоннели"
0535e226-bac2-4476-9582-4986ea7b1262,"""Благоустройство подземного пешеходного перехода, расположенного по адресу: Ставропольский край, г. Кисловодск, ул. Кирова, 1А""","Мосты, тоннели"
053a0c30-3bdd-4942-83f9-d2fcb0826d56,"Капитальный ремонт тоннеля щитовой проходки левая нитка Д=1840 мм протяженностью 1803 п.м. от КК 26-1732 (ул. Трамвайная, 1/3) до КК 30-0166 (камера К-90)","Мосты, тоннели"
055bbbbd-a6e2-464d-9aa9-1ff456995772,"Строительство и реконструкция автомобильной дороги М-8 ""Холмогоры"" - от Москвы через Ярославль, Вологду до Архангельска. Строительство путепровода через железную дорогу на 7 км автомобильной дороги М-8 ""Холмогоры"" Москва - Ярославль - Вологда - Архангельск, подъезд к городу Кострома, Ярославская область.","Мосты, тоннели"
055cefc6-27df-4b31-8538-79f02f948b5a,"""Капитальный ремонт мостового перехода через р. Андриановка на автомобильной дороге Петропавловск-Камчатский - Мильково км 295+195""","Мосты, тоннели"
056ba8e1-4189-44b3-bb21-3f7a04703c40,"Капитальный ремонт путепровода через автомобильную дорогу на км 535+072 автомобильной дороги М-2 ""Крым"" Москва - Тула - Орел - Курск - Белгород - граница с Украиной, Курская область","Мосты, тоннели"
057eccfc-b36b-44e0-abfd-314d6b30e10c,"""Капитальный ремонт мостового перехода через р.Заксым на км 158+338 автомобильной дороги ""Солонешное - Усть-Кан""","Мосты, тоннели"
058104ee-6d2d-4e5d-9ca0-2c85fff2c89b,"Капитальный ремонт мостового перехода ч/з р.Молодня у н.п.Устье на км 1,239 а/д ""Звенигород - Колюбакино - Нестерово"" - Устье - Акулово в Одинцовском районе Московской области","Мосты, тоннели"
0581b0c0-0b22-4868-aa2f-ffe0d951a81d,"Капитальный ремонт мостового перехода через ручей на км 3+333 автомобильной дороги ""Черга-Булухта"".","Мосты, тоннели"
059a1519-938d-475e-9563-7bb90822cde5,"""Капитальный ремонт моста через реку Березовка км 6+732 автомобильной дороги Р-120 Орел - Брянск - Смоленск - граница с Республикой Беларусь, обход г. Брянска, Брянская область""","Мосты, тоннели"
05a314c5-9af0-47e9-aaad-d583e2379d0d,"""Реконструкция моста по ул. Минаева с подходами""","Мосты, тоннели"
05b1091f-1ccd-4a82-818a-2eb273aa6150,Капитальный ремонт мостового перехода через р. Иша на ул. Центральная в с. Гусевка,"Мосты, тоннели"
05e49bef-0466-438a-a2e6-bbe051fb84b2,"""Строительство путепроводов на пересечении Октябрьского направления железной дороги в районе 24-25 км Ленинградского шоссе с необходимой для их функционирования улично-дорожной сетью"". Этап 1. Участок левоповоротного съезда С-2 с Международного шоссе на Ленинградское шоссе","Мосты, тоннели"
06069c26-5669-46e0-956b-78ef409133e3,"«Капитальный ремонт мостового сооружения с пешеходными связями в Республике Крым, г Симферополь, пгт Комсомольское, в районе пер. Виноградный, 27»","Мосты, тоннели"
06119681-93d0-4f00-ad44-f07db6da5efa,Капитальный ремонт моста через р. Косьва на автомобильной дороги п. Первомайка - Верхняя Губаха,"Мосты, тоннели"
06155e6f-6cdd-4a63-9a90-416ff25fe01d,Капитальный ремонт моста через реку Шабиз в с. Старое Тлякеево в Актанышском муниципальном районе Республики Татарстан,"Мосты, тоннели"
06376ae2-ab0e-4f3c-aa77-6b11b77e1a2d,"""Капитальный ремонт путепровода через железную дорогу на км 297+125 (правый) автомобильной дороги Р-119 Орел - Ливны - Елец - Липецк - Тамбов, Липецкая область""","Мосты, тоннели"
06469c9a-8cb4-4898-a6d1-beeda6a38069,Капитальный ремонт моста через р. Саранка по ул. Ботевградская в г. Саранск,"Мосты, тоннели"
0649c0e8-6c90-4067-8936-7f837dd4aa7e,Капитальный ремонт мостового перехода через р. Береш на км 2+300 автомобильной дороги Никольск - с. Дубинино в Шарыповском районе Красноярского края,"Мосты, тоннели"
064e1ef6-4705-462f-bc85-db636460f85f,Капитальный ремонт моста через руч. на км 7+852 автомобильной дороги Анива - Таранай,"Мосты, тоннели"
0661bc6c-9433-4f48-bb93-3c1156f5846e,"""Капитальный ремонт мостовых сооружений и путепроводов в г. Белгороде"". г. Белгород, путепровод через ж/д пути Москва - Юг по ул. Студенческая","Мосты, тоннели"
0669bb5c-68a5-4f51-b3b3-cdc399d19999,Реконструкция путепровода (восьмипролетного) по проспекту Ленина через железнодорожные пути,"Мосты, тоннели"
067d7985-a56a-48cc-8a53-51c35ef06227,Подземный пешеходный переход через ул. Дубровинского в районе площади имени А.П. Чехова,"Мосты, тоннели"
06a6c2b0-94be-4176-8e12-8b111f48bcfa,"Оборудование инженерно-техническими средствами (системами) обеспечения транспортной безопасности объектов транспортной инфраструктуры ГБУ ""Гормост"". Путепровод Бойня-Перово (автодорожный)","Мосты, тоннели"
06ab2b40-f14e-492b-9b2a-f2a3ef5b0d03,"Строительство многоуровневых транспортных развязок на участке магистрали ""Солнцево-Бутово-Варшавское шоссе"" от ТПУ ""Столбово"" до улицы Поляны с необходимой для их функционирования улично-дорожной сетью. Этап 1.1. Подготовка территории - вынос инженерных коммуникаций из зоны строительства. Корректировка","Мосты, тоннели"
06b2972e-855b-49e5-b313-c773d22b21fe,Капитальный ремонт моста через р. Падь на км 0+429 автомобильной дороги Вилкино - Туманова - Маяк в Юргамышском районе Курганской области,"Мосты, тоннели"
06c12a05-b746-4d34-ae38-ccb3be60e639,"Капитальный ремонт путепровода через ж/д на 95+341 км а/д ""Старосимферопольское шоссе (Серпуховский район)"" у н.п. Лукино в городском округе Серпухов Московской области","Мосты, тоннели"
06d381da-68fe-45a2-969b-72b1d6433395,Строительство пешеходного моста через реку Чуна в п. Веселый в Чунском районе Иркутской области,"Мосты, тоннели"
06e78788-70c7-4063-9a4f-042e2257d8a5,Капитальный ремонт мост через р. Мулянка на ул. Красина,"Мосты, тоннели"
06e9fc69-8cd5-4549-8818-3b2c5825bce9,Строительство моста через р.Орда в с.Рогалево в Ордынском районе Новосибирской области,"Мосты, тоннели"
07148c84-e61c-4b50-a3db-23b536992102,Капитальный ремонт ул. Вилкова в г. Долинск (в южном направлении от моста через р. Излучная),"Мосты, тоннели"
072a349f-d926-406f-9e77-fb96070d58dd,"Капитальный ремонт мостового перехода через р.Карагуж на км 10+393 автомобильной дороги ""Подъезд к с.Верх-Карагуж""","Мосты, тоннели"
072f76fc-1d0e-4dbc-a9e4-5ad8b9e3a0ce,Строительство моста через реку Оскол в с. Поминово Валуйского городского округа,"Мосты, тоннели"
0733d228-3850-4ced-952b-975fb4b807b8,"""Капитальный ремонт моста через реку Алекинская на км 863+194 автомобильной дороги Р-404 Тюмень-Тобольск-Ханты-Мансийск, Ханты-Мансийский автономный округ - Югра""","Мосты, тоннели"
0762610e-5777-4c0f-b44e-9f4ba686f603,"Капитальный ремонт автомобильной дороги Ижма - Лапоминка - Патракеевка, км 0+026, мостовой переход через реку Ижма в Приморском районе","Мосты, тоннели"
