Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
0210e468-050f-484c-bff8-a98304f03344,"Строительство ПС 500 кВ Нижнеангарская трансформаторной мощностью 1002 МВА и СКРМ 730 Мвар (ШР-500 кВ 3х180 Мвар, УШР-220 кВ 2х35 Мвар, БСК-220 кВ 2х60 Мвар), строительство одноцепной ВЛ 500 кВ Нижнеангарская - Усть-Кут ориентировочной протяженностью 465 км, реконструкция ВЛ 220 кВ Кичера - Новый Уоян и ВЛ 220 кВ Ангоя - Новый Уоян (для технологического присоединения энергопринимающих устройств ОАО ""РЖД""). 3 этап строительства. Строительство ПС 500 кВ Нижнеангарская в объеме подключения ВЛ 500 кВ Нижнеангарская - Усть-Кут № 1 с сооружением ОРУ 220 кВ и 500 кВ и установкой АТ-1 трансформаторной мощностью 501 МВА и резервной фазы 167 МВА.",Линии электропередачи и подстанции
026f4910-967b-4c32-a3b2-d944c3282eba,"""Внешнее электроснабжение береговых сооружений. Техническое перевооружение существующей энергосети Морского Терминала"" ""Проект №2""",Линии электропередачи и подстанции
027f5037-7a49-433e-8e5b-9265c977ea18,"Реконструкция участка ВЛ-110 кВ Лужская-1, Лужская-2",Линии электропередачи и подстанции
02834bc2-33b9-4f97-ab82-5ea2c2c7d975,"""ВЛ-500 кВ ПГРЭС-Калино 2. Перенос промежуточной опоры №246 из русла р. Старица на высокий берег реки""",Линии электропередачи и подстанции
02988153-ca48-4e69-a0ac-4ddf42c20973,"Проектирование и строительство ЛЭП 10 кВ от ПС 35/10 кВ ""Кучки"" для подключения площадок откорма и подращивания индейки в с. Большая Елань",Линии электропередачи и подстанции
02bea836-c0c5-47f4-91c1-c73cacde57e0,"Реконструкция ВЛ 110 кВ Ленинская - Островная, реконструкция ВЛ 110 кВ отпайка Восточно-Сургутская (переустройство двухцепной ВЛ с заменой 3 опор)",Линии электропередачи и подстанции
02e3f25b-64f8-48f3-9e01-6c08f24c1edc,"ПС 220 кВ Садовая. Реконструкция ячейки №5 КРУН 10 кВ для технологического присоединения энергопринимающих устройств ООО ""ТелеСеть+""",Линии электропередачи и подстанции
02f354e9-b048-46e1-9481-031ebd9ca573,"Установка дополнительных опор на ВЛ 110 кВ Ленинская - Нефтеюганская на участке ВЛ 110 кВ Вектор - Ленинская в пролетах опор №№ 47-48, 48-49.",Линии электропередачи и подстанции
0338d07d-2953-4143-ae2c-6a37679cfcd7,"Установка дополнительных опор на ВЛ 110 кВ Ленинская – Нефтеюганская на участке ВЛ 110 кВ Вектор – Ленинская в пролетах опор №№ 47-48, 48-49",Линии электропередачи и подстанции
033ac1c1-7c51-4630-9ec6-f78cdefbb399,"Строительство нов. ТП 6/0,4 кВ с тр-рами 2х400 кВА, 2хКЛ-6 кВ от РУ-6 кВ ТП-205 до РУ-6 кВ нов. ТП 6/0,4 кВ, установка приборов учета по уровню напряжения 0,4 кВ в РУ-0,4 кВ нов. ТП 6/0,4 кВ, в т.ч. ПИР, МО, Орехово-Зуевский г.о., г. Ликино-Дулево, ул. Почтовая (0,8 МВА 0,6 км 2 т.у.)",Линии электропередачи и подстанции
036f4631-590e-4f2b-bae5-aadbf009e593,"Замена ВМ-14, ВМ-16, ВМГ-133 на ВВ-ТЕL - 9 шт. на РП6/0,4 кВ № 6 (идентификатор инвестиционного проекта- M_RP6)",Линии электропередачи и подстанции
038dbed7-cda5-4674-9352-adec96925069,"Строительство ВЛ 220 кВ Туран - Туманная I, II цепь ориентировочной протяженностью 272 км (для технологического присоединения энергопринимающих устройств ООО ""Голевская ГРК"")",Линии электропередачи и подстанции
03cfdf0d-5b72-4f30-9793-00bdaa0745db,"""ПАО ""Уралкалий"". СКРУ-3. ПС 110кВ Новая, ВЛ 110кВ Бумажная - Новая I, II цепь""",Линии электропередачи и подстанции
03db43a3-b445-46ef-b73d-a7a01cdc42ca,Строительство ВЛ-6 кВ в с.Новиково,Линии электропередачи и подстанции
03debe19-8184-463e-bdf9-267fc4b677db,"""Капитальный ремонт ВЛ-0,4кВ №1 от ТП 6/0,4 кВ №69 г. Сердобск, ул. Заводская""",Линии электропередачи и подстанции
03eb7545-797c-4edc-8c6b-a31acec747be,"ЛЭП 110 кВ от закрытого распределительного устройства 110 кВ до опорных подстанций № 3, 4",Линии электропередачи и подстанции
03f56b12-0719-439f-a140-cdaa7dd3b261,"Реконструкция ПС 110 кВ ""ИКЕА"".",Линии электропередачи и подстанции
04096acf-93d6-48ef-8e69-834514f5aec0,"""РУ 10/10/110 кВ Зодиак СЭС в Докузпаринском районе Республики Дагестан""",Линии электропередачи и подстанции
04286c61-bdd5-4f4c-95dc-a2d4fb7a300a,"""Разработка проектной документации в рамках программы модернизации и повышения надежности электросетевого комплекса Чеченской Республики на 2020-2024 годы"". (Объекты 110-35 кВ). Реконструкция ПС 110 кВ Самашки.",Линии электропередачи и подстанции
043c75f7-4104-477d-a0d1-65612c3372b1,"Реконструкция существующей высоковольтной сети на ОРУ-10кВ инв.№ 407170270, КРУ-6кВ, инв.№ 301215012, ГРУ-6кВ инв.№ 407010130 по адресу: 140180, Московская область, г.Жуковский, ул.Энергетическая, д.17",Линии электропередачи и подстанции
043d2725-3a78-407c-9186-282791982904,"""Электросетевой комплекс-Воздушная линия 110 кВ ""поселок Холбон Шилкинского района - поселок Чернышевск Чернышевского района""""",Линии электропередачи и подстанции
046a865a-8963-4fe7-8512-ff84cfba966a,"Подстанция 220 кВ ""Саларьево"" с заходами. Этап I ""Строительство ПС 220 кВ Саларьево"", Этап II ""Строительство заходов КЛ 220 кВ на ПС 220 кВ Саларьево путем реконструкции КЛ 220 кВ Никулино-Хованская №1, №2"" (корректировка)",Линии электропередачи и подстанции
047dbdeb-6500-4923-a2a5-707d94d662eb,"""Усиление существующих сетей для внешнего электроснабжение электроустановок земельного участка сельскохозяйственного назначения по адресу: Республика Крым, Симферопольский район, на территории Добровского сельского поселения, СПК ""ЧУНГУРОВ САД"", кадастровый номер 90:12:042101:150 кадастровый номер 90:12:042101:615 кадастровый номер 90:12:042101:2083 кадастровый номер 90:12:042101:423 кадастровый номер 90:12:042101:2077 кадастровый номер 90:12:042101:2434 кадастровый номер 90:12:042101:124 кадастровый номер 90:12:042101:617 кадастровый номер 90:12:042101:165 кадастровый номер 90:12:042101:2432 кадастровый номер 90:12:042101:2049 кадастровый номер 90:12:042101:153 кадастровый номер 90:12:042101:2567 кадастровый номер 90:12:042101:585 кадастровый номер 90:12:042101:297 кадастровый номер 90:12:042101:2079 кадастровый номер 90:12:042101:2051 кадастровый номер 90:12:042101:2045 кадастровый номер 90:12:042101:127 кадастровый номер 90:12:042101:2064 кадастровый номер 90:12:042101:154 кадастровый номер 90:12:042101:2075 кадастровый номер 90:12:042101:177 кадастровый номер 90:12:042101:155 кадастровый номер 90:12:042101:478 кадастровый номер 90:12:042101:151 кадастровый номер 90:12:042101:578 кадастровый номер 90:12:042101:156 кадастровый номер 90:12:042101:479 кадастровый номер 90:12:042101:422 кадастровый номер 90:12:042101:588 кадастровый номер 90:12:042101:128 кадастровый номер 90:12:042101:357 кадастровый номер 90:12:042101:595 кадастровый номер 90:12:042101:132 кадастровый номер 90:12:042101:589 кадастровый номер 90:12:042101:130""",Линии электропередачи и подстанции
048437ac-b3fd-43fe-a581-5a885f9a082e,Капитальный ремонт ВЛ 10 кВ для электроснабжения I подъема Демского водопровода Службы Южного Комплекса Водопроводных Сооружений,Линии электропередачи и подстанции
04c45d87-be40-4dc0-aa60-65cf0778edb4,"""Реконструкция ПС 110 кВ ""Фотон"" и питающих ВЛ 110 кВ с прилегающей распределительной сетью"" 2 этап строительства",Линии электропередачи и подстанции
04d9e6e5-aab3-404f-ad52-f1b94098db00,"АВР. Модернизация ПС 220 кВ Элиста Северная (замена высоковольтных вводов 110 кВ ф ""А"" 1 шт, ф ""В"" 1 шт, ф ""С"" 2шт МВ 110 кВ Красненская)",Линии электропередачи и подстанции
04dcb8c0-d424-4b11-ab29-a89e5415ada6,"""Реконструкция ПС 110/10кВ Горная (ОПУ, РЗА, КРУ-10)""",Линии электропередачи и подстанции
051323ca-4543-4c7b-a2fa-af92e5f86b03,Реконструкция ПС 110 кВ Юбилейная,Линии электропередачи и подстанции
051e9ae1-f61f-450b-8a94-39787f848e2d,"""Освоение глубоких горизонтов Олимпиадинского месторождения. Инфраструктура 5-й оч. карьера ""Восточный"". Вынос ВЛ 110 кВ ПС Тайга - ПС БИО-4 из зоны засыпки отвалом Западный""",Линии электропередачи и подстанции
0520eb2b-a89d-4b83-994e-1e7b82211053,"""Реконструкция РУ 6 кВ ПС 110 кВ, строительство: ЛЭП 6 кВ, РП 6/0,4 кВ для обеспечения технологического присоединения энергопринимающих устройств инженерной инфраструктуры территории комплексной жилищной застройки (Муниципальное казенное учреждение ""Управление строительства города Липецка""), расположенной по адресу: г. Липецк, жилищная застройка, ограниченная улицами Гагарина, Балмочных, Вавилова""",Линии электропередачи и подстанции
052fd9a5-9e79-469a-9c1b-34e6c45a60ad,"Реконструкции объекта электросетевого комплекса, принадлежащего ПАО ""МРСК Сибири"" ВЛ 110 кВ С-247/С-248 ПС ""Центр"" - ПС ""Восточная"" с отпайками на ПС ""Центральная"" и ПС ""Молодежная""",Линии электропередачи и подстанции
05400fa2-489d-4a2c-bb96-f9e4af745796,"""Реконструкция ВЛ 220 кВ Центральная - Метзавод № 1, ВЛ 220 кВ Центральная - Метзавод № 2""",Линии электропередачи и подстанции
05416bfd-2891-4f6c-bf48-9f559d3d158b,"Реконструкция ВЛ-35 кВ ""Дожимная - 1,2"" Повховского месторождения (оп. №6-51, №51/1-51/6)",Линии электропередачи и подстанции
055dcb57-7d7b-420c-8520-f4d949cd87d4,"""Цифровой РЭС - Крымэнерго"" на территории Сакского РЭС, первый пусковой комплекс (участок сети ПС ""Утренняя заря"", фидер 17 ПС ""Поповка"" и фидеры 1,7,8 ПС ""Воробьево""). Реконструкция сети 10 кВ Сакского РЭС. Строительство ВЛ 10 кВ с установкой реклоузеров 10 кВ и ретрофитом ячеек""",Линии электропередачи и подстанции
057dc60c-3c65-4856-b700-d322a84d8e1d,"""Реконструкция ПС 500 кВ Ново-Анжерская (установка АТ-5 220/110 кВ 250 МВА, выключателей 220 кВ - 1 шт., 110 кВ - 1 шт., АОПО АТ-1, АТ-2, АОПО ВЛ 110 кВ Ново-Анжерская - Иверка, ВЛ 110 кВ Ново-Анжерская - Яйская с организацией независимых каналов ПА для реализации управляющих воздействий), ПС 220 кВ Левобережная (реконструкция АОПО КВЛ 110 кВ Левобережная - Кемчуг тяговая I и II цепь и организация независимых каналов ПА для реализации управляющих воздействий) (для ТП ПАО ""Россети Сибирь"")"". 1 этап: Установка АТ-5 220/110 кВ 250 MBA на ПС 500 кВ Ново-Анжерская",Линии электропередачи и подстанции
05844a1e-93f1-4a10-9f25-2d977d7399ba,"Производственная база ""9-ый км"" Линейный объект 0,4 кВ (ВЛ+Мачта освещения)",Линии электропередачи и подстанции
0584caee-c423-4a2c-bb14-5dedd30a8fdf,"СТРОИТЕЛЬСТВО ЛЭП-0,4 КВ, ДЛЯ ЭЛЕКТРОСНАБЖЕНИЯ ОБЪЕКТА, РАСПОЛОЖЕННОГО ПО АДРЕСУ: Г. ЛЕСОСИБИРСК, В 175 МЕТРАХ НА ЮГО-ВОСТОК ОТ Д.107 ПО УЛ. ГОРЬКОГО, К.Н. 24:52:0011025:50",Линии электропередачи и подстанции
058689dc-c82f-48d8-a100-e13d5976293a,"Строительство 4КЛ-20кВ СП 71079 с.1 - СП 71099 с.1, СП 71079 с.2 - СП 71099 с.2, СП 71098 с.1 - ПС 758 А, СП 71098 с.2 - ПС 758 Б, 25КЛ-10кВ, в т.ч. ПИР: г. Москва, ул. Розанова, д. 2, Брянский пост, д. 16 для нужд МКС - филиала ПАО ""Россети Московский регион"" (ПК90+40,1, ПК90+41,9, ПК90+47,4, ПК90+50,9, ПК90+55, ПК90+59,2 и ПК90+59,4)",Линии электропередачи и подстанции
058d9b31-bd0f-4d34-b283-67214009edcf,"Реконструкция ПС 220 кВ Южная в части установки линейных регулировочных трансформаторов (2 шт.) мощностью 16 МВА, демонтажа трансформатора 3Т мощностью 16 МВА с выполнением сопутствующего объема работ. Второй этап",Линии электропередачи и подстанции
0598ad04-eed1-48d7-b153-40cec93f70fc,"""АО ""СХК"" ЦЭРЭО. Техническое перевооружение ПС 220/110 кВ ЭС-1 с сооружением ОПУ, КРУН, КТПНУ, ВНС""",Линии электропередачи и подстанции
05c1e28b-ad09-45a8-93a1-79d037288e42,"Строительство ПС 110/10/10 кВ ""Технопарк"" с трансформаторами 2х63 МВА и заходами ВЛ 110 кВ ""Новочебоксарская ТЭЦ-3 - Спутник"" и ""Новочебоксарская ТЭЦ-3 - Порт""",Линии электропередачи и подстанции
05c534a3-5f8d-45b8-9b4f-141481fb90df,"Строительство ВЛ 500 кВ Нижнеангарская - Таксимо ориентировочной длиной 230 км, реконструкция ПС 220 кВ Сухой Лог с расширением ОРУ 220 кВ на две линейные ячейки, реконструкция ПС 220 кВ Таксимо со строительством ОРУ 500 кВ и установкой автотрансформатора 500/220 кВ с резервной фазой 167 МВА и шунтирующего реактора 500 кВ мощностью 180 Мвар с резервной фазой 60 Мвар, реконструкция ПС 220 кВ НПС-9 с установкой БСК 220 кВ мощностью 45 Мвар (для технологического присоединения энергопринимающих устройств ОАО ""РЖД"" и ООО ""СЛ Золото""). IV этап: Строительство ремонтно-производственной базы (РПБ) на ПС 220 кВ Таксимо",Линии электропередачи и подстанции
05e216f4-fc48-492b-be76-1a39ca2ab1a3,"Строительство ПС 500 кВ Нижнеангарская трансформаторной мощностью 1002 МВА и СКРМ 730 Мвар (ШР-500 кВ 3х180 Мвар, УШР-220 кВ 2х35 Мвар, БСК-220 кВ 2х60 Мвар), строительство одноцепной ВЛ 500 кВ Нижнеангарская - Усть-Кут ориентировочной протяженностью 465 км, реконструкция ВЛ 220 кВ Кичера - Новый Уоян и ВЛ 220 кВ Ангоя - Новый Уоян (для технологического присоединения энергопринимающих устройств ОАО ""РЖД""). 3 этап строительства. Строительство ПС 500 кВ Нижнеангарская в объеме подключения ВЛ 500 кВ Нижнеангарская - Усть-Кут № 1 с сооружением ОРУ 220 кВ и 500 кВ и установкой АТ-1 трансформаторной мощностью 501 МВА и резервной фазы 167 МВА.",Линии электропередачи и подстанции
05ea72f3-44ea-4523-af37-bf0849133084,"Реконструкция ВЛ-10кВ и строительство 4хКЛ-0,4кВ от ТП-7 до ВРУ-0,4кВ в связи с реконструкцией средней общеобразовательной школы № 36, расположенной по адресу: г. Красноярск, ул. Сопочная, 40",Линии электропередачи и подстанции
05fbfa13-5ceb-45e6-afc1-b7a33aac87f9,Реконструкция участка ВЛ 110 кВ Суздальская I II инв. №130000004565,Линии электропередачи и подстанции
0618b454-47ff-46f6-9e63-c62b9283a235,"Реконструкция ПС 110кВ Лопасня с заменой существующих трансформаторов на трансформаторы 2х63МВА, заменой выключателей ОРУ 110кВ, ОРУ 35кВ, ЗРУ 6кВ",Линии электропередачи и подстанции
06337073-2883-4587-8d35-e37ad359266f,Строительство ПС 110 кВ Осоргино 1 этап,Линии электропередачи и подстанции
0651dba3-9bfd-49fc-8766-ca38f6612c31,"Реконструкция электросетевого комплекса ЭСК ПС-110/6 кВ ""Кислородный завод"" с прилегающими ПС и ВЛ в части ВЛ-110 кВ ""Пашковская-Кислородный завод"" с образованием отпайки на Новознаменский энергоцентр и электросетевого комплекса ЭСК ПС 110/35/10 кВ ""Лорис"" с прилегающими ВЛ в части ВЛ-110 кВ ""Восточная Промзона-Пашковская (наименование по техпаспорту ВЛ 110 кВ ""Лорис-Пашковская"") с образованием отпайки на Новознаменский энергоцентр",Линии электропередачи и подстанции
06760699-70fa-42dc-988e-5f8a54cbd5d6,"""Строительство транзита 110 кВ Севастопольская-Ялта-Лучистое в двухцепном исполнении (в том числе проектно-изыскательские работы). Первый этап строительства:""Реконструкция ПС 110 кВ Заря (включая ПИР)""",Линии электропередачи и подстанции
06844b7b-1b79-4d2e-a30e-870f909f3251,"Модернизация ССПИ ПС 110 кВ Абатск Ишимского ТПО филиала АО ""Россети Тюмень"" Тюменские электрические сети",Линии электропередачи и подстанции
06b55e9c-1f6f-4a74-9903-3f20ef2f5acc,"Реконструкция ПС 110 кВ №525 Ильинка в части установки дополнительного трансформатора 1х25 МВА, установки ЗРУ-20 кВ на 9 яч.",Линии электропередачи и подстанции
06bea2cb-f457-44c5-adee-bd046633be18,"""Комплексное техническое перевооружение и реконструкция ПС 500 кВ Трубино. Корректировка""",Линии электропередачи и подстанции
06bfb41d-9586-4105-ae46-b1f5c58b159b,"""Электросетевые комплексы ""Подстанция (ПС) 110 кВ Водозабор с линией электропередачи (ЛЭП)"", ""Подстанция (ПС) Западная с линиями электропередачи (ЛЭП)""",Линии электропередачи и подстанции
06caacde-83ed-4e88-bef8-8ae447e8ba79,Здание тяговой подстанции.,Линии электропередачи и подстанции
06d4a6b2-049b-4bd0-9c45-a27d508a2d48,"""Реконструкция ПС 330 кВ Махачкала, ПС 330 кВ Дербент, ПС 330 кВ Артем, ПС 330 кВ Чирюрт, ПС 110 кВ Белиджи, ПС 500 кВ Алания в части оснащения и дооснащения инженерно-техническими средствами охраны (18 комплектов)"" Этап 2. Оснащение ИТСО ПС 330 кВ Дербент.",Линии электропередачи и подстанции
06e6b1ae-7ebb-49c9-972a-e1c0af1b2242,"""Разработка проектной документации в рамках программы модернизации и повышения надёжности электросетевого комплекса Чеченской Республики на 2020-2024 годы"" (Объекты 110-35 кВ). <%>""Реконструкция ВЛ 110 кВ Грозный 330 - ГРП-110 с отпайкой на ПС Черноречье (Л-136)"".",Линии электропередачи и подстанции
073010de-31f8-4096-b4d1-c725b5613829,"""Строительство ПС 110 кВ ""Молдовка"" с установкой трансформаторов 2х20 МВА""",Линии электропередачи и подстанции
073b2b04-23db-4211-a851-46438c9d969f,"Реконструкция ВЛ 0,4 кВ ТП 252 с установкой разгрузочной ТП, с. Заречное",Линии электропередачи и подстанции
07494e79-2781-470a-9e03-80842f60da70,Реконструкция ПС 35/10 кВ «Дробилка»,Линии электропередачи и подстанции
074ae6d1-647b-4943-9682-a1ca07ffd3f7,"""Реконструкция участка ВЛ 35 кВ Т-5 (ПС Туран-Кызыльская ТЭЦ) от ПС 220 кВ Туран до ПС 35 кВ Майналыг, 6,74 км""",Линии электропередачи и подстанции
07626ee7-f212-4ff3-96f9-3b898850b702,"Реконструкция ТП-314 с заменой тр-ров 2х400 кВА на тра-ры 2х630 кВА, с заменой 9-ти ячеек в РУ-10 кВ, с заменой сборок н/н на ШРНН-12 (1 этап), строительство КЛ-0,4 кВ от ТП-314 до границы участка Заявителя, установка прибора учета по уровню напряжения 0,4 кВ, в т.ч. ПИР, МО, Раменский р-н, р.п. Ильинский, ул.Пролетарская (1 этап: 1,26 МВА, 10 шт. (РУ), 2шт. (прочее) 2 этап 0,35 км, 1 т.у.)."" (ТЗ № 7375/21 от 13.04.2021 г.) 1 этап",Линии электропередачи и подстанции
07880654-b5f8-4e19-9253-1378126e2186,"Реконструкция ПС 220 кВ Тверицкая в части сооружения двух новых ячеек 10 кВ и замены двух дугогасящих устройств 10 кВ для технологического присоединения энергопринимающих устройств ПАО ""МРСК Центра""",Линии электропередачи и подстанции
078c0f2b-70b3-48d0-be1f-36f523f9e21e,"Реконструкция ВЛ 110кВ. Яйвинская ГРЭС - Соликамск I, II цепь с отпайками. VI этап. Реконструкция участка ВЛ 110 кВ Яйвинская ГРЭС - Соликамск с отпайками, ВЛ 110 кВ Соликамск - Союз с отпайками (совместная подвеска) от оп. № 119/117 (сущ.) до оп. № 177/175 (сущ.) протяженностью ориентировочно 14,5 км",Линии электропередачи и подстанции
079b650b-1712-4790-8fcb-afadaf72e488,"Строительство ПС 500 кВ Нижнеангарская трансформаторной мощностью 1002 МВА и СКРМ 730 Мвар (ШР-500 кВ 3х180 Мвар, УШР-220 кВ 2х35 Мвар, БСК-220 кВ 2х60 Мвар), строительство одноцепной ВЛ 500 кВ Нижнеангарская - Усть-Кут ориентировочной протяженностью 465 км, реконструкция ВЛ 220 кВ Кичера - Новый Уоян и ВЛ 220 кВ Ангоя - Новый Уоян (для технологического присоединения энергопринимающих устройств ОАО ""РЖД""). 10 этап строительства. Реконструкция ПС 500 кВ Усть-Кут",Линии электропередачи и подстанции
07a453df-cd37-4150-836f-d9691649b4f6,"ЗРУ-6кВ ""Парогенераторная-2"" Усинского нефтяного месторождения. Корректировка",Линии электропередачи и подстанции
