Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
029f354c-ffd9-4ff3-aefc-237ee22b5c03,"""Устройство недостающего электроосвещения на автодороге ""г. Тамбов - г. Пенза"" - с. Междуречье - г.Сердобск"" км 35+790 - км 37+635 Каменского района Пензенской области""",Наружное освещение
02e447f4-003f-4a27-9c72-80ebb820f62a,Ремонт наружного освещения дворовых территорий в Сармановском муниципальном районе Республики Татарстан,Наружное освещение
03d56f1c-5de2-4037-a252-e549f3c42a77,Ремонт наружного освещения дворовых территорий в Елабужском муниципальном районе Республики Татарстан,Наружное освещение
03d762d6-a170-445c-894d-d262d8c5ffcd,"Реконструкция автомобильной дороги Поспелиха - Новичиха - Волчиха, км 35+975 - км 38+550, с. Новичиха в Новичихинском районе (устройство электроосвещения)",Наружное освещение
04196f05-5154-4780-88eb-bf6aa405c7c7,Устройство искусственного электроосвещения (в рамках капитального ремонта) в населенном пункте Юшта на автомобильной дороге Шилово - Юшта - Санское - Погори (0+000 - 22+000) в Шиловском районе Рязанской области на участке км 11+03 - 12+640,Наружное освещение
04286161-369f-457c-a391-f402a2567357,"Реконструкция автомобильной дороги <%>Бийск-Усятское-Соусканиха-Верх-Кажа, км 10+600 - км 14+858, с.Малоенисейское (устройство электроосвещения)",Наружное освещение
04425b49-58a0-462c-ad80-335427450e77,"""Капитальный ремонт в части устройства недостающего электроосвещения на автомобильной дороге ""Р-92 Калуга - Перемышль - Белев - Орел"" - автоподъезд к населенному пункту Давыдово (н.п. Давыдово) в Белевском районе Тульской области""",Наружное освещение
04588e54-4661-4861-89ef-d848d08591eb,Выполнение работ по капитальному ремонту автомобильной дороги Новосибирск - Иркутск - Филиповск по элементам обустройства: устройство недостающего электроосвещения в населенном пункте д. Норы на участке км 2+040 - км 3+272 в Зиминском районе Иркутской области,Наружное освещение
04a61910-65b2-4051-adfa-2e02ad583062,Капитальный ремонт автомобильной дороги Одобеляк - Куженер - Параньга (устройство искусственного освещения и тротуаров на участке км 33+665 - км 34+330),Наружное освещение
04df492a-0cc3-46de-a24a-99553a37b083,"Устройство линии наружного освещения вдоль автомобильной дороги ""Ольшанец - Сцепное"", участок км 0+370 - км 1+620 с. Ольшанец. Участок км 5+090 - км 6+320 с. Дегтевое в Задонском районе Липецкой области",Наружное освещение
04df6399-ed33-431a-971d-82f5afe9c986,"""СТРОИТЕЛЬСТВО ЛИНИИ ОСВЕЩЕНИЯ НА АВТОМОБИЛЬНОЙ ДОРОГЕ ""АВТО ПОДЪЕЗД К ПОСЕЛКУ СНЕЖНАЯ ДОЛИНА"" КМ 0+000 - КМ 4+863 В МАГАДАНСКОЙ ОБЛАСТИ""",Наружное освещение
04fca7a7-e803-40a8-bc81-c953ed6bebad,"Устройство уличного освещения в г. Сковородино, а именно улицы Пролетарская протяженностью 1221м, улицы Восточная протяженностью 997м, улицы Дзержинского протяженностью 577м",Наружное освещение
052007dd-a626-42ae-b6ea-776009fc71ac,Наружное освещение.,Наружное освещение
0539faff-50e1-4afb-9e53-9bc833266889,"Капитальный ремонт в части устройства недостающего электроосвещения на автомобильной дороге Белев - Чернь (н.п. Сестрики, н.п. Новая Велична, н.п. Животово, н.п. Астафьево, н.п. Нижние Савинки) в Белевском районе Тульской области",Наружное освещение
053cc36a-d4a7-44dc-8173-fd41c249477a,Наружное освещение.,Наружное освещение
053fe9c3-ef0f-48e5-952d-ee30ad8ae7da,"Строительство линии уличного освещения по адресу: г. Прокопьевск, участок дороги от ул. Морозовой, д.70 до ул. Морозовой, д.72",Наружное освещение
05496e81-a736-459d-b806-82edd8ecf41f,Наружное освещение,Наружное освещение
055fca7a-6b53-4410-8ece-ad960c3aa328,"Капитальный ремонт сетей уличного освещения по ул.Полевая, п.Плодовое",Наружное освещение
056dee4a-6781-4479-9fb8-4ccffbfd21c2,"Проектирование устройства (создания) новых установок наружного освещения на территории обслуживания, находящихся в собственности муниципального образования ""город Биробиджан"" Еврейской автономной области. Центральный район. Комсомольская",Наружное освещение
057d2f5c-77db-4b8f-87e2-a5c0d96d29a7,"Строительство наружного освещения автомобильных дорог. Этап 2. Строительство наружного освещения автомобильной дороги по адресу: г. Таганрог, Большой Проспект (от ул. Кузнечная до ул. Чехова)",Наружное освещение
05c0b78a-2d38-4d46-bd4e-472669720438,"""Устройство недостающих электроосвещения и тротуаров на автомобильной дороге ""с. Индерка - с. Нижний Катмис"" км 0+000 - км 2+000 Сосновоборского района Пензенской области""",Наружное освещение
05cf5ee4-5ee3-4203-a564-c6c06928aebc,Ремонт наружного освещения дворовых территорий в Тетюшском муниципальном районе Республики Татарстан,Наружное освещение
05d30f36-2d39-4de9-8f51-29f79a875c19,"""Капитальный ремонт объектов наружного освещения в пгт Массандра, пос. Отрадное, ул. Днепровская (от Шоссе Дражинского до ул. Магарачская)""",Наружное освещение
05e93dcc-d51a-4701-9d08-763e9c2bada0,Устройство искусственного освещения на автомобильной дороге Казань - Шемордан км 22+400 - км 23+600 в с.Новое Шигалеево в Пестречинском муниципальном районе Республики Татарстан,Наружное освещение
06183a3d-f4f3-4268-a2be-831b732e3309,Устройство искусственного освещения на автомобильной дороге Актаныш - Муслюмово км 22+000 - км 22+600 в д.Новый Кадермет в Актанышском муниципальном районе Республики Татарстан,Наружное освещение
0623652a-38dd-4f6e-a219-e922a51e8db2,Устройство искусственного освещения на автомобильной дороге Нурлат - Новое Иглайкино км 1+100 - км 2+000 в г.Нурлат в Нурлатском муниципальном районе Республики Татарстан,Наружное освещение
06477fdd-d1fb-4d92-9de3-d319330cd360,"Капитальный ремонт в части устройства недостающего электроосвещения на автомобильной дороге ""Алексин - Малое Савватеево"" - Колосово (н.п. Колосово) в МО г. Алексин Тульской области",Наружное освещение
06cf7d14-12ac-4d18-86f2-87787491c651,Наружное освещение.,Наружное освещение
06d708e1-5170-4fe3-89e2-a87be8ccda4f,"Строительство сетей наружного освещения вдоль автомобильной дороги ""Новый Оскол-Валуйки-Ровеньки""-Хохлово км 1+900 - км 2+400 в Валуйском городском округе Белгородской области",Наружное освещение
06e4f8e9-bc45-4990-a526-d0d8adaafd27,Капитальный ремонт автомобильной дороги Долматово - Няндома - Каргополь - Пудож на участке км 1+300 - км 3+500 (устройство электроосвещения) в Вельском районе Архангельской области,Наружное освещение
07108c31-fea2-4734-93c7-716d6e2637fa,Наружное освещение.,Наружное освещение
071b0b8f-7f12-4dd5-9a31-166b3093c837,Выполнение работ по капитальному ремонту автомобильной дороги Подъезд к д. Нижний Хазан по элементам обустройства: устройство недостающего электроосвещения в населенном пункте с. Самара на участке км 0+000 - км 2+351 в Зиминском районе Иркутской области,Наружное освещение
0745ffd9-06b7-4c24-8f60-300b7e9b2123,"""Капитальный ремонт сетей наружного освещения (пляж ""Лесник"") с. Песчаное Бахчисарайского р-на РК""",Наружное освещение
075faf9a-6164-4a1b-aaca-9c3a456c3c6c,"Капитальный ремонт автомобильных дорог по элементам обустройства: устройство недостающего электроосвещения на автомобильной дороге: ""Иркутск - Усть-Ордынский""-Майск - Никольск -""Оек-Кударейка"" в населенном пункте с. Никольск на участке км 0+009 - км 2+152 в Иркутском районе Иркутской области",Наружное освещение
078c7972-899a-4c96-97d3-01adb3522b43,Капитальный ремонт проспекта Гагарина на участке от ул. Угольной до ул. Дальней (устройство недостающего тротуара и недостающего наружного искусственного освещения) в городе Великие Луки.,Наружное освещение
07a24481-02f5-475e-8864-e846d9a033a8,"Расходы на мероприятия по повышению уровня обустройства автомобильных дорог федерального значения. Устройство стационарного электрического освещения на автомобильной дороге М-9 ""Балтия"" Москва - Волоколамск - граница с Латвийской Республикой, км 50+000 - км 83+200, Московская область",Наружное освещение
07bef84d-8ff8-4486-b5af-641b924ea7b6,"""Устройство недостающих тротуаров, электроосвещения и элементов обустройства на автомобильной дороге Киров - Малмыж - Вятские Поляны, в пределах д. Ключи, д. Среднее, д. Перевоз Нолинского района""",Наружное освещение
08338b4d-30fe-43fc-bf2a-e781d0061cfd,Устройство искусственного освещения на автомобильной дороге Кошар - Ключи-Сап км 7+600 - км 8+600 в с.Кшклово в Атнинском муниципальном районе Республики Татарстан,Наружное освещение
0848d4c7-802d-4662-8959-f4dc497713aa,"Строительство ВЛ наружного освещения 0,23 кВ по адресу: Вологодская область, Междуреченский р-он, с. Шуйское, ул. Надсадная, ул. Энергетиков",Наружное освещение
085383e1-b175-43bb-a73a-76fc928787ac,Ремонт наружного освещения дворовых территорий в Камско-Устьинском муниципальном районе Республики Татарстан,Наружное освещение
0896e6e7-18a3-4e5a-860f-1658af8e3938,"Устройство наружного освещения на автомобильной дороге Бирск Башкортостана - Тастуба Башкортостана - Сатка, участок км 291+000 - км 294+000.",Наружное освещение
089afc07-eec3-40e8-a25c-5e9696213b8c,"Капитальный ремонт в части устройства недостающего электроосвещения на автомобильной дороге ""Орел - Ефремов"" - Кочкино (н.п. Пожилино, н.п. Трусово, н.п. Кукуй, н.п. Кочкинские Выселки, н.п. Кочкино) в МО г. Ефремов Тульской области",Наружное освещение
08b6d1b5-a15a-4808-98ea-2a843fb57b3a,"""Устройство искусственного освещения на автомобильной дороге ""обход р.п. Лунино"" км 0+000 - км 0+900 р.п. Лунино (пешеходный переход км 0+270) Лунинского района Пензенской области""",Наружное освещение
093ea49c-9377-453b-9433-cf2d4dc923dc,"Строительство линии электроосвещения на автомобильной дороге общего пользования Кудринский участок - Моряковский Затон на участках км 3+800 - км 6+650, км 17+100 - км 17+775 в Томском районе Томской области",Наружное освещение
096b9f79-a35f-4bf8-b7f4-c0030584abf3,"""Капитальный ремонт в части устройства недостающего электроосвещения на автомобильной дороге Левобережный - Шахтинский (н.п. Весенний, н.п. Шахтинский) в Кимовском районе Тульской области""",Наружное освещение
09d0411c-e8a8-46a9-acf5-1f195cc87b11,"Автомобильная дорога М-4 ""Дон"" Москва - Воронеж - Ростов-на-Дону - Краснодар - Новороссийск. Прочие объекты комплексного обустройства. Наружное электроосвещение и электроснабжение на участках км 133+750 - км 221+020, Тульская область",Наружное освещение
09e7ef71-09a1-449c-95d0-8946f17d481e,"""Устройство электроосвещения и тротуаров в Никольском районе Пензенской области: - автодорога ""р.п. Сосновоборск - г. Никольск"" - с. Ахматовка км 6+900 - км 7+600, км 12+000 - км 13+400 - автодорога ""с. Сура - с. Ильмино"" км - 0+000 - км 1+500, км 12+100 - км 12+800 - сооружение (автомобильная дорога ""Подъезд к с. Прудное"") км 3+200 - км 4+100 - автодорога ""Подъезд к с. Казарка"" км 2+800 - км 4+800 - автодорога ""г. Городище - г. Никольск - д. Ночка - граница области"" - с. Нижний Шкафт"" км 10+100 - км 13+300 - сооружение ""Автомобильная дорога ""с. Большой Вьяс -пгт. Сура - с. Маис"" км 22+315 - км 27+230, км 27+240 - км 29+120, км 33+985 - км 35+410, км 37+400-км 38+400, км 41+845 - км 42+340""",Наружное освещение
09f1edc2-1dd1-4d6b-b277-7cf3503205e0,"""Капитальный ремонт объектов наружного освещения в пгт. Массандра, пгт Восход, ул. Горная, ул. Сосновый бор""",Наружное освещение
09f9aa47-e884-41bf-ae75-a3f1a784ac93,"""Капитальный ремонт сетей уличного освещения по ул. Крымская в пгт Нижнегорский Нижнегорского района Республики Крым""",Наружное освещение
0a0e1106-b714-413a-81b7-9122c627f7ea,Устройство искусственного освещения на автомобильной дороге Альметьевск - Лениногорск км 35+750 - км 36+250 в п.Валеевский в Лениногорском муниципальном районе Республики Татарстан,Наружное освещение
0a44b377-3193-4ffb-9da8-3458add77d58,"Строительство линейного объекта ""Уличное освещение ж/д ст. Полоха с применением энергосберегающих технологий""",Наружное освещение
0a4c1d4c-2cc2-4889-9eb3-9e86220ac7c8,"Выполнение работ по капитальному ремонту (модернизации) сети уличного освещения на территории МО ""Город Майкоп"" Республики Адыгея: ул. Шовгенова, от АЗС Роснефть до ул. Строителей",Наружное освещение
0a6507f0-46ed-4ea1-8906-231e4540dbe8,"Проектирование устройства (создания) новых установок наружного освещения на территории обслуживания, находящихся в собственности муниципального образования ""город Биробиджан"" Еврейской автономной области. Праздничная иллюминация.",Наружное освещение
0a8d967c-3b7a-4c33-b011-100265a3eef4,Наружное освещение.,Наружное освещение
0a9c3c6f-348b-439a-9901-58b8c40b491e,"Капитальный ремонт в части устройства недостающего электроосвещения на автомобильной дороге ""Кимовск - Епифань - Куликово поле - Кресты"" - автоподъезд к населенному пункту Муравлянка (н.п. Казановка) в Кимовском районе Тульской области",Наружное освещение
0aa56445-725d-48d1-99b2-3c39ade20e15,"Устройство искусственного освещения на автомобильной дороге ""Казань - Малмыж"" - Пермяки км 2+000 - км 3+900 в Высокогорском муниципальном районе Республики Татарстан",Наружное освещение
0ad0d6c4-291e-42ea-8315-cbe056ca91df,Капитальный ремонт автомобильной дороги г. Красноуфимск - р.п. Арти - г. Касли (устройство искусственного освещения на участке км 54+290 - км 55+600) на территории Артинского городского округа,Наружное освещение
0ad1b77f-0d78-44f3-a347-d14c6ce04d73,"Строительство линии уличного освещения по адресу: г. Прокопьевск, участок дороги от ул. Морозовой, д.70 до ул. Морозовой, д.72",Наружное освещение
0adea4c0-ccd7-4a14-a623-195c30ad6f5e,Капитальный ремонт искусственного освещения по ул. Пограничная,Наружное освещение
0ae8793e-13bd-4ced-bbc1-9f4ea33def91,"""Устройство недостающего электроосвещения и тротуаров на автомобильной дороге Плотники - Вожгалы - Богородское - Уни в д. Плотники, п. Вичевщина""",Наружное освещение
0aecd570-d1eb-4f04-809b-db51a3b57dd5,"Устройство искусственного освещения на автомобильной дороге ""г. Пенза - р.п. Шемышейка - с. Лопатино"" км 79+500 - км 82+800, км 88+000 - км 90+300 Лопатинского района Пензенской области",Наружное освещение
0b46c117-a5e0-408b-b447-0b432cd432cd,"Проектирование, строительство и реконструкция объектов: ""Сети уличного освещения по административным районам города Брянска"": №1 г. Брянск, пер. 4-й Красноармейский, г.Брянск, ул.Соборная, №2 г. Брянск, пер. Авиационный №15.1 - проезд между школой №60 и детским садом, №6 г. Брянск, пр-д. Совесткий, №7.3 пр-т. Станке Димитрова 5В, №8 ул. 4-я Толмачевская, проезды от ул. Костычева и ул. Горбатова до школы №54, ул. Ново-Островская, №7.2 пр-т. Станке Димитрова 54АБВГ, №153 - г. Брянск, ул. Снежетский Вал.",Наружное освещение
0b5b672e-667b-441c-b3be-b4bd8068caa4,Устройство искусственного электроосвещения в населенном пункте Перекаль на автомобильной Рыбное - Перекаль в Рыбновском районе Рязанской области на участке км 3+280-4+280,Наружное освещение
0b655cd7-7e98-4b24-84c2-d2cc1ee81ce9,"Проектирование устройства (создания) новых установок наружного освещения дворовых территорий, находящихся в собственности муниципального образования ""город Биробиджан"" Еврейской автономной области.",Наружное освещение
0b68cd7c-eb1c-41bd-bfd2-9fedaad7a1d1,"Капитальный ремонт сетей уличного освещения по ул. Полевая, пер. Дружбы в с. Линейное Нижнегорского района Республики Крым",Наружное освещение
0b805692-33c3-46f3-af1f-746503fdf0c5,"Устройство линии наружного освещения вдоль автомобильной дороги ""Усмань-Грачевка"" участок км 4+520 - км 10+140, с. Завальное в Усманском районе Липецкой области",Наружное освещение
0ba34105-5f74-48fc-84b2-5c54f08c1b6f,Ремонт наружного освещения дворовых территорий в Бугульминском муниципальном районе Республики Татарстан,Наружное освещение
0bbf5fcb-ec64-4791-99d6-16273172b310,"Устройство линии наружного освещения КЛ 0,4 кВ от КТП № 20, КТП № 88, ТП № 59 (капитальный ремонт) по ул. Чичерина в г. Оренбурге",Наружное освещение
0bcf2658-415c-4217-9535-f8ba4d41b144,"""Уличное освещение автодороги улица Центральная магистраль МО город Новый Уренгой""",Наружное освещение
0bdebcb9-88af-4ad5-89e7-ef417cb99f54,"Проектирование замены существующих установок наружного освещения на территории обслуживания, находящихся в собственности муниципального образования ""город Биробиджан"" Еврейской автономной области. Карла Маркса",Наружное освещение
0beb8889-2919-4e04-98e9-8aa671b29034,"Капитальный ремонт автомобильной дороги Майкоп-Гиагинская-Псебай-Зеленчукская-Карачаевск на км 75+535 - км 79+435, в границах МО ""Кошехабльский район"" Республики Адыгея. Устройство недостающего электроосвещения.",Наружное освещение
0bf046cb-5b43-4bb0-aeaf-f70afede629a,Наружное освещение.,Наружное освещение
0bf72ac4-cd5a-465e-84ac-685980dc6ec9,Наружное освещение.,Наружное освещение
0c10cfca-974e-4cd8-95f1-73363c26a6bb,"Капитальный ремонт в части устройства недостающего электроосвещения на автомобильной дороге ""М-4 ""Дон"". Москва - Воронеж - Ростов-на-Дону - Краснодар - Новороссийск"" - Новомосковск (км 44+980 - км 47+885) в Киреевском районе Тульской области",Наружное освещение
0c1a9f13-daa8-40b6-bc7e-ba91adeeb10c,"Капитальный ремонт в части устройства недостающего электроосвещения на автомобильной дороге ""Кимовск - Новольвовск"" - автоподъезд к населенному пункту Львово (н.п. Львово) в Кимовском районе Тульской области",Наружное освещение
0cc92935-7b44-4832-afb9-6404b002d0ac,Строительство сетей наружного освещения вдоль автомобильной дороги Севрюково - Мясоедово в Белгородском районе Белгородской области,Наружное освещение
0ce15b07-b417-4308-aa7b-bd1ca24822b8,Капитальный ремонт в части устройства недостающего электроосвещения на автомобильной дороге Тимофеевка - Головино (128 км ПК-4 перегона Ханино - Упа) в Дубенском районе Тульской области,Наружное освещение
0d1dd1f1-ad5d-4bd6-9653-eba3c5765ccb,Капитальный ремонт автомобильной дороги Ивановка - Сорочинск - Ташла в части устройства электроосвещения на участке км 73+200 - км 74+600 в Сорочинском городском округе Оренбургской области.,Наружное освещение
0d218efd-ef07-4713-8f53-06f699eff0b1,"Проектирование устройства (создания) новых установок наружного освещения на территории обслуживания, находящихся в собственности муниципального образования ""город Биробиджан"" Еврейской автономной области. Центральный район. Миллера",Наружное освещение
0d380909-57f8-400d-a650-c04fb4b200a7,Устройство искусственного освещения на автомобильной дороге Елабуга - Лекарево - Большие Армалы км 15+700 - км 16+600 в с.Большие Армалы в Елабужском муниципальном районе Республики Татарстан,Наружное освещение
0d3f5eff-87e7-4aa2-b02a-6b51569d1b7f,"Капитальный ремонт в части устройства недостающего электроосвещения на автомобильной дороге Лукино - Голощапово (н.п. Лукино, н.п. Голощапово) в Щекинском районе Тульской области",Наружное освещение
0d4b6c3e-88a2-4b3d-8053-5d4c7fcba907,Строительство системы наружного освещения с использованием энергосберегающих технологий в пос. Катунино Приморского муниципального округа Архангельской области,Наружное освещение
